Unnamed: 0,date,content,rating,isEdited,userName,title,developerResponse,sentiment,matched_python,reviewId,userImage,review,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,standardizedReview
33,2021-03-11 05:27:00,"This is one of the best coding app out there really impressed with the beginning classes and samples I finished my html, css, and JavaScript courses and got my certificates got a good grip for web development I noticed that you have added the beginning, and intermediate levels for python I would like to see them with the other courses especially with html, css, and JavaScript for web developers it will gives us more steps forward towards our learning... I would greatly appreciate it if you can do that for the community thank you!!",5,False,vegito7100,Really good,,POSITIVE,python,,,nan,,,,,nan
48,2018-04-22 19:45:10,"I’m 10 and I am learning python with this app. I love it. It helps so much! But only 1 problem: when it gives me the fill in the blank problems I type in the answer but then when I hit the check button my keyboard pops up. I don’t know why and I looked through the reviews and nobody had the same problem. It only lets me go to the next question if I use my XP to buy a ‘unlock’ thing. I don’t know why but please try to fix this 😬. Besides that, great app! 👍🏻👍🏻👍🏻",5,False,Agsdwbxfs,AMAZING! Just 1 problem.,,NEGATIVE,python,,,nan,,,,,nan
66,2020-06-15 22:34:32,"If you are starting to learn python from scratch without any knowledge about programming, you want to face any problem starting to learn. SoloLearn is really doing a great job in showing and explaining the material for programming languages in a way that guides you step by step and answer the questions at the right time when learning.I’m so glad that I’m using SoloLearn to develop my programming skills.",5,False,X-Wild-Wolf,Very helpful,,POSITIVE,python,,,nan,,,,,nan
166,2018-11-06 23:14:05,"Recently I downloaded the old version of this app, the single python one and it told me that there was a newer version. 

So I downloaded this app, it told me to sign in or create an account. I tried. It will not let me create a account on the app. It will not allow me to sign in with Facebook or google. Every time I try it just displays an alert that says please try again later, I wait til later and still the same result.",2,False,sighlo,I gave a two star rating and here’s why...,"{'id': 5854124, 'body': 'Please contact us via info@sololearn.com and we will help.', 'modified': '2018-11-08T08:07:58Z'}",NEGATIVE,python,,,nan,,,,,nan
168,2020-03-02 15:19:44,"The app is good to keep learning python , however there are continuous pop pops asking you for subscriptions. I never subscribed but next thing I see a $50 charge in Apple store for subscription",5,False,GeoRho,App is good but signs you up for annual subscription without your approval,"{'id': 13823755, 'body': ""Thanks for your feedback!\nWe'd like to inform you that the entire content of SoloLearn is completely free! \r\nPRO offering enables advanced tools and provides uninterrupted ad-free access to learning. It is up to you to choose the preferred option of SoloLearn. For more information please contact us via info@sololearn.com"", 'modified': '2020-03-03T07:45:57Z'}",NEGATIVE,python,,,nan,,,,,nan
197,2019-02-02 14:12:40,"I love this app so much and it is a great learning experience. First, I just got the python SoloLearn but I decided to get this. Being a total critic, two things I would like for you to fix is 1: I am having trouble using the provided compiler, it is hard to use. 2: Could you please include Lou? Thank you!",5,False,Mycolightning,GREAT!!!,,POSITIVE,python,,,nan,,,,,nan
205,2018-01-16 04:16:09,"This app is well designed, free, and has no ads in the learning segments of the app. What’s not to like!  It is a great introduction to python.  I have completed it and have found zero problems.  At first the online part seemed slow, but that issue disappeared after I replaced my ancient home router.",5,False,hichaechoc,Great Free App,,POSITIVE,python,,,nan,,,,,nan
212,2019-01-05 01:22:34,"I have been interested in coding but didn’t know if I should go for it and decided to learn the basics first 

So far this app is very helpful and the community is nice I’m trying out python and I love the way it introduces you to coding in python  giving you tips and info about the program :)",5,False,Yaretzi Olivares,Good App,,POSITIVE,python,,,nan,,,,,nan
220,2018-11-10 00:49:44,"I’m so thankful to the developers of this app. I couldn’t imagine learning python and SQL specifically without this app. I’ve watched lots of tutorials and gone to lots of webpages to learn, but nothing compares to this app in terms of the content itself and delivery. Fantastic job, thank you so much!",5,False,DH Engineer,Critical to success,,POSITIVE,python,,,nan,,,,,nan
222,2017-11-18 23:10:25,"Learned python on this, really good tutorial, discussion/comments on each topic. I keep doing challenges and plan to start learning Java or C++ with SoloLearn. For developers: please add quiz submission on iOS or web browser. I want to contribute (give back) but there is no option on the iPhone app rn",5,False,Je314159,"Love this app, Add Quiz Factory for iOS please","{'id': 1790828, 'body': 'Thanks for your feedback! The Quiz Factory is coming to iOS soon, so stay tuned!', 'modified': '2017-11-19T14:29:55Z'}",POSITIVE,python,,,nan,,,,,nan
262,2022-04-23 11:29:46,"No matter where I am, I can spend some time on python learning which is Amazing. Thank you for your great job!",5,False,MonaDastar,Little progress every day and every where,,POSITIVE,python,,,nan,,,,,nan
277,2018-05-09 01:20:59,"I’m 13 and I’ve been using this for a free way to learn coding and I’m ecstatic. This is a great way to learn and I’m very pleased with it. I learned php, python, SQL, HTML, CSS, and Javascript which got me to know the basics of coding. And this is a great app for people who have no coding experience at all. Great app overall👍🏼",5,False,Last of Us fanboy.avi,Great way to learn coding,,POSITIVE,python,,,nan,,,,,nan
281,2022-10-10 17:21:44,"I’ve been using this app for 3 years, and it’s taught me almost everything I need to know!(about python) I would definitely recommend this app!",5,False,McApplepie,Wonderful App!,,POSITIVE,python,,,nan,,,,,nan
294,2018-09-25 01:56:49,It has been thoroughly teaching me python to the point where I’m getting comfortable with the language and it didn’t cost me a cent. Worth every second of time I’ve spent on this app!,5,False,Jared Schneedle,More than what you expect from a free app,,POSITIVE,python,,,nan,,,,,nan
295,2018-12-06 12:24:51,I got this app because I was forced to get it using the python app. I don’t find any python on here. There seems to be just a bunch of Bizzarre lessons that have to do with nothing. I did find some web development lessons but that’s it there’s no coding that I can find anywhere. So it’s either very difficult to find it or it’s not there,3,False,Netgurutoo,No Python,"{'id': 6289748, 'body': 'Please go to ""Learn"" section and paste Python in search bar.\nIf you are still unable to find it, please contact us via info@sololearn.com and we will help.\n\nWe\'d like to inform you that separate apps are going to be discontinued soon, that is why we recommend to switch to all-in-one version.\nThanks for your understanding.', 'modified': '2018-12-07T13:52:00Z'}",NEGATIVE,python,,,nan,,,,,nan
296,2021-07-31 04:02:37,This was the perfect app for me! At first I didn’t know crap about python and no videos would work. On the other hand. Sololearn made me real good at python. 10/10 would recommend,5,False,something34578,Best app ever,,POSITIVE,python,,,nan,,,,,nan
300,2018-08-09 19:44:05,"It’s a good place to start learning different skills like python, sql, html, Java, etc. the only thing that annoys me is every now and then it’ll say no internet connection but other than that it’s a really good app to use to learn something new.",5,False,acrviper21,Python!!,,POSITIVE,python,,,nan,,,,,nan
327,2019-09-07 09:52:05,"It is a great way to learn. On a different account, I learned python. My hopes is to learn tensorflow sharp. Find out all of the processes needed to use the information learned to become a better trader through automation.",5,False,ScamBlaster,Got to do this!,,POSITIVE,python,,,nan,,,,,nan
340,2018-05-06 23:28:22,I have been coding for just a year and have found that learning python through this app simple.  A few minutes a day and you can learn a lot.,5,False,richvanwelch,Best way to learn on the go.,,POSITIVE,python,,,nan,,,,,nan
385,2018-09-27 21:49:45,"This app is free, no adds(as far as I know) and it’s super easy to understand and learn I’m now level 2 and I’m learning python it’s so fun I implore you to download this app you won’t regret it!",5,False,Mehnamjaff,Amazing! Learning so much.,,POSITIVE,python,,,nan,,,,,nan
392,2018-10-25 01:18:37,"I finally found it! An easy-to-understand completely free way to learn JavaScript, HTML, and even Python! So that means once I get good at JavaScript or python and start making good games, I can send em up to gamejolt and potentially make some cash!",5,False,Metal Mullet,AWESOME APP!!!!,,POSITIVE,python,,,nan,,,,,nan
415,2018-06-10 03:58:26,It is fun in this app because you can learn a lot. My favorite is the html and python lessons. You can socialize on this and help each other at the same time. I enjoyed this even though I’m still in level one. HOPE YOU’LL JOIN TO!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,4,False,fifapro7,App review,,POSITIVE,python,,,nan,,,,,nan
