Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_python
9,19302811-d033-4b12-ab5b-e012b7fbeab7,Salman Akhelarab,https://play-lh.googleusercontent.com/a-/ACB-R5SrLaur_5t9r9GpQjqKAFRAnqyPfv5-m3IlBCkc,Really good app for complete beginners. I recommend python.,5,0,4.7,2023-02-03 03:31:58,,,POSITIVE,python
59,fc079a08-ac4d-4498-9367-1d67b61093f1,Eduard Garcia,https://play-lh.googleusercontent.com/a-/ACB-R5RdxsYd7ztSA-7SUz9h7sd7vDfkQ1X13EAmZNe_wQ,"python is the easiest to learn, done it in 2- 3 days",5,0,4.7,2022-05-05 12:49:46,,,POSITIVE,python
106,c529108f-e699-4fed-a398-405a93052b97,Bhavik Mahalle,https://play-lh.googleusercontent.com/a-/ACB-R5ToJn16WB7JDltRfiQgTgFiroLiTevTX5koyUtrYA,"thank you very much <3, i am back here after few years. this app teached me basics of programming and motivated me to learn more. but somewhy at ending of python course i switched to other app.",5,5,,2021-10-17 14:27:05,,,POSITIVE,python
124,8dbddffc-4533-4cb0-a3f1-1613a4f23aee,Raghu Ram,https://play-lh.googleusercontent.com/a-/ACB-R5SIAROB1lYAVUDVuciuXMkUBK16fKSusGTi0WzGgA,"Excellent app to learn python,html and JavaScript absolutely free",5,0,4.6,2021-06-13 01:03:30,,,POSITIVE,python
128,8ef4d94b-bcae-42a9-9323-1ceb8b7acf4d,frank feruzi,https://play-lh.googleusercontent.com/a-/ACB-R5RZYAtDZ756YP4OvJ_dtKfOlghN52gdns73WX_6uA,I enjoy reading python,4,0,,2021-05-15 12:53:36,,,POSITIVE,python
141,c47a5298-5b11-4ff0-9045-21e10d8b0aeb,Ayush indexeus,https://play-lh.googleusercontent.com/a/AGNmyxbzywoF0YIsNiwZ7wIowBXhsQppmJRyqVZXIvUz=mo,"This is the best app for the beginners who want to learn web developement and python.Overall it's a good app for learning JS,HTML,CSS and PYTHON.But the reason for giving it 4 stars is quite simple: Firstly it doesn't have the interface of account where you can see which topics you have already learnt as you you have to check each individual lesson while studying after a long time.Secondly,there are some topics which are paid , you have to pay for the advance learning , but I'm sure it'll worth",4,32,4.6,2021-02-10 04:23:31,,,POSITIVE,python
160,93df3803-b6bd-445c-93d3-a925114fef08,Chase E. Snarr,https://play-lh.googleusercontent.com/a-/ACB-R5R52pTEpU10R0CgYfkMTzu_16otzWPR4wALlOlZKg,"I use this to supplement reading a python book. Its a lightweight way to review and I like it very much. The information is quick, straightforward, and accurate so I can do lessons in bursts.",5,9,4.6,2020-11-06 17:59:17,,,POSITIVE,python
174,d5e30083-d076-4800-8d61-f668127b3d92,S3iker,https://play-lh.googleusercontent.com/a-/ACB-R5RVqmvF2Z6xPUN_XM4jT6AGunEshVcEH7-WJezLWA,"I am giving 5 star as a programing and coding student and begineer it have python ,java,web plz install if you want be a programmee",5,0,4.6,2020-10-10 23:27:21,,,POSITIVE,python
181,798a6529-a25a-41a0-8144-56dc64685e52,Clifford Tookes,https://play-lh.googleusercontent.com/a-/ACB-R5RZCl0psbfrKlZg9hVrjHA_Ul0Xth0CV5lS1DwAmNs,Great way to make python a fun game away from your computer,4,0,4.6,2020-09-23 04:18:33,,,POSITIVE,python
199,b89a60c1-dd75-48c4-b4f8-be21ac315d23,sibaprasad brahma,https://play-lh.googleusercontent.com/a/AGNmyxZkCIO-53LDPbvEKpI8n1Kkb00b_V96lkLFrl9o=mo,Its the only app in playstore in which I can understand python,5,0,4.6,2020-08-29 13:10:56,,,NEGATIVE,python
