Unnamed: 0,date,developerResponse,content,rating,isEdited,userName,title,sentiment,matched_python
0,2022-12-19 21:09:15,"{'id': 34845754, 'body': 'Thank you so much for taking the time to write this review, we appreciate it very much!', 'modified': '2023-02-13T19:46:50Z'}","This app is absolutely amazing. The only language I had a basic grasp going in was python, but I started taking the web-development courses(currently 20% to certification) and have been able to fly through at my own pace. Mimo encourages learning through a healthy sense of challenge/competition but keeps it from becoming demanding. It challenges you just enough to keep you interested. Best part is the app is free, enacting a “lives system” like your typical phone game would. The lives(5 to be exact) are pretty much enough to get you through one day assuming you don’t go premium. Once you run out it’s roughly three hours for one heart, essentially encouraging coming back daily to learn. It also has a simple daily streak mechanic that further encourages daily involvement and the previously mentioned competition is a leaderboard that slightly encourages trying harder when learning. This has been the best experience I have ever had in my journey to learn how to program. Between the textbooks and other online courses, this is hands down my favorite experience.",5,False,BreadOne2Three,… And it’s all free,POSITIVE,python
1,2022-09-24 15:58:45,"{'id': 35479181, 'body': ""Thank you so much for your delightful review, we really appreciate it! If there's something we can do to deliver a 5-star experience for you, please let us know (feedback@getmimo.com). In the meantime, all the best!"", 'modified': '2023-03-20T10:16:59Z'}","Mimo is exquisite. I’m learning python at a rapid pace, like a rabbit, bounding past a turt and saying “Oh you simple one. Oh you one without wisdom. I have seen the light; I have been enlightened.” All that Mimo gives so freely couldn’t have been conceived in my wildest visions. Mimo... is like  heaven come to earth. It’s sleek design, a satisfying ui and, dare I say, Mimolicios leaderboard has inspired me each and every day to expand my brain capacity.  The Mimo experience; a hill with flowers atop, a place to call home, a place to call school. I have climbed passed my “peers”, with my intellectual prowess, easily shooting to the top of every leaderboard in my sight. I feel like a child, touching the face of God as my eyes are opened. This is what it all means. I feel like the summarians, national  superpowers that saw what the human capacity currently was, and didn’t except it: no, they rebelled against there primitive form and invented the basis for the advances we are able to make today. As I sit here, wrighting this reflection of the greatest peece of the puzzle that is our human experience: I reflect apon my life before Mimo, the melancholy state I was in. I don’t shame those who are experiencing a similar way of living; no, I call them, I offer them a hand  out of the dusty, well trodden rode they are crouched on, and say: “let me offer you something greater, something inspiring and powerful: let me grant you Mimo.”

4/5 cuz of some bugs",4,False,dont_delete,Mimo: a comprehensive study,POSITIVE,python
16,2022-12-31 07:47:19,"{'id': 34209409, 'body': 'Hey! Thanks for your feedback. Drop us a message at support if you are having any issues with anything and we would be able to take a look right away.', 'modified': '2023-01-10T20:40:31Z'}","Mimo, im upset the app glitched on me a few minutes ago. Its a new day I decided to do a lesson in the middle of the night bc I stayed up. I’ve changed my goal to regular from serious as I got busier but still want to learn my python stuff to reach my Daily goal. I lost my streak 25th bc Christmas and I’ve been trying to earn daily rewards to repair it for the new year. I did my daily lessons few minutes ago and earned my 20 coins i needed to purchase a streak repair & it wouldnt let me, I got to 407 coins!! It wouldnt let me but the repair, im bummed out now. I was at 387 coins before todays lessons too. After I had enough to fix my lost streak day. And then the glitch happens! Please fix this! Also after updating the app, my circle progress bar with percent on how far I am on the course disappeared from my coding page, I loved seeing it where the lessons are & now I have to click the python drop down menu to see it.",2,False,Mee2212121,Earned coins & percent progress bar disappeared after latest update,NEGATIVE,python
28,2022-03-02 20:05:34,,"I literally downloaded this last night on a complete whim, and it’s so addicting that I’m already 20% through the python course. They break everything down in a way that’s extremely easy to learn even for complete beginners like myself, and gradually up the challenge the more you progress through your lessons. There’s also mini projects that come with each lesson to help you apply what you’re learning in a practical way. The pro subscription is more than reasonable for all of the material you learn, and lets you do as many modules as you want. I already recommended this app to everyone I could, and I’m so excited to keep learning more!",5,False,Hartley Porter,Fantastic app for beginners!,POSITIVE,python
29,2021-11-09 23:45:48,,"I cannot stress the comparison enough, the two are nearly identical. I was afraid that they wouldn’t have much content, but was shocked to see that they have python, SQL, HTML, and JS. The UI feels like your working directly on your computer’s command prompt, and the instructions are very simple to follow. 

Almost too simple, and my only complaint would be to add a textbook style lesson plan that goes into big picture concepts for what you’re learning as you get through each lesson. Being a beginner, I’d like to learn how expansive each concept could be used for, but understand how it starts small as to not scare too many people away. 

TL;DR This is a fantastic way to jump into coding.",5,False,Brannongram,Duolingo for Coding Languages,POSITIVE,python
54,2023-01-30 00:09:45,,"I love this app and it’s actually kind of addicting even though I spend a lot of time gaming. It’s very educational and I would recommend it if you really love coding. All of it is amazing except the hearts. You have 5 lives and if you get a question wrong, you get a life taken away. It’s kind of disappointing that you have lives when you really want to learn how coding/python works. If you run out of lives, you can buy lives with the in-game currency or wait. But everything else is amazing! Again, I would recommend it.",5,False,AnimeK.I.D.,It’s amazing but…,POSITIVE,python
58,2021-08-06 07:17:19,,"This app is a great start for anyone looking to learn the basics of web development, python , or SQL. The competition factor gives you motivation to keep your rank high. I think it’s perfect to learn the basics but that’s about it. I give it 4 stars but if the lessons were longer and more in depth I’d give it 5 . Also I feel that the lessons are too short which you could easily finish before one month. I also think that some lessons teach you a brand new method or object and not enough reinforcement of previously learned material as it isn’t gradually added onto the lessons only slightly.",4,False,suckit57!,A Great start,NEGATIVE,python
63,2021-11-07 17:23:41,,"This is definitely a great beginner coding app. I’ve been learning python through it and it’s going well. However, I do think that they need to increase the difficulty as you get further into the curriculum. When you start understanding the basics and more, it becomes way too easy when all you have to do is “tap” the answer at the bottom of the page, or simply put in the answer they give you in the question/statement. I think it would be better if they made us use our thinking and problem solving skills a little more.",4,False,PrinceNeptune,Great App for Beginners! However…,POSITIVE,python
69,2022-04-01 03:35:45,,This is like the 3rd program I’ve used to learn python . udacity and kaggle are great but some they’re lessons maybe a bit intimidating if you have 0 background with python.(my case) this app relays the information as if you where a baby. Honestly it may feel easy but it’s so repetitive that it sticks!!! Try the 14 day trial if you’re really trying to learn this try to find a buddy to practice text messaging via python language it’s kinda funny and helps. Really excited to continue!,5,False,Hola is a disapointment,Please try the 14 day trial!!!!,NEGATIVE,python
70,2022-03-14 16:24:23,"{'id': 26802032, 'body': ""Dang, that sounds like a bug! You see, we try to test every aspect of the app before releasing, but sometimes an issue can slip through. If possible, please give Johanna at support (support@getmimo.com) a detailed description of what happened. She'll help you sort this out. In any case, apologies for the inconvenience!"", 'modified': '2022-03-14T16:24:23Z'}","It’s loaded with typos, most affect if your answer is correct or not. I had 13 out of 15 questions wrong and could find no mistakes on my part. My answers matched theirs, but mine were still considered incorrect. And there is no way to get questions answered. So learned NOTHING. They frequently have contradictory answers from one exercise to the next. I have completed the python part and 50% of web design, still can’t make a page that lets a user input information. It really is a total scam. Thanks Apple for helping them rip off people.
This is a second review the other was so heavily edited I can’t believe they even bothered to post it. And both apple and Mimo are giving me the runaround about a refund.",1,True,cjlee1,You pay them to be a beta tester.,NEGATIVE,python
