Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_python
23,d72f0ef8-fd5d-4b82-8a6c-c52c4b100040,FOREXGISTS,https://play-lh.googleusercontent.com/a/AGNmyxa1NfVMi0SnGUnP0mMYRR9WYKeWF4lr1huaDmO4=mo,"Data Camp is the best online learning center. With your phone you can get to learn python or other programing language, at data camp it's a compulsory thing to understand one topic before moving to another. Data camp makes it all very simple, as it's a learn and practice experience. I would never have understood python if not for Data Camp. Thank you for the innovation of Data camp. I love you guys.",5,2,70.0.0,2023-03-14 14:05:14,,,POSITIVE,python
37,42e5cb23-173b-409e-8023-d1bc411d8cf1,Peter Ryan,https://play-lh.googleusercontent.com/a/AGNmyxZyoGO9dYh_Uzl229RlgZqUK8C30nXlEU7Y4j87=mo,Great way for me to learn python and sql. It had enough value to me that I renewed for a second year.,5,0,,2023-03-09 22:01:06,,,POSITIVE,python
103,34d7d07b-c550-4ab7-bed0-5b86e945c6e8,Joy Ologun,https://play-lh.googleusercontent.com/a-/ACB-R5QxVp-0-vu-yTJ9KqFgABD8QmLwy3nbvhLWb4IiPg,Awesome experience. Data Science with python was made easy here. Thank you.,5,1,71.0.0,2023-02-17 08:16:35,,,POSITIVE,python
184,2012bc8e-0e2a-44de-ba1e-dc6cafca4ebc,David Gadyt,https://play-lh.googleusercontent.com/a-/ACB-R5STcHhAl6sqNi8OFSDFaG4d0OC1RqrI1W5LjHVDcw,Great app for learning python and Machine learning!,5,0,69.0.0,2023-01-19 01:06:17,,,POSITIVE,python
216,b916672a-2480-40be-a621-745a9593d61c,Douglas Pittman,https://play-lh.googleusercontent.com/a/AGNmyxbtKdcB2Tk6uPdc_EmuuULXAoweFAaD8CJsJpcO=mo,Excellent way to get better at python,4,0,69.0.0,2023-01-11 00:20:53,,,POSITIVE,python
250,7080f557-15b3-4e8f-b049-081ff968f76f,Muhammad Safwan,https://play-lh.googleusercontent.com/a-/ACB-R5TwNpfc9rOOt781boO9DNsVwPEgI0-GdH-67iQI,The best app for learning python,5,0,68.0.1,2023-01-01 07:15:15,,,POSITIVE,python
295,abad8e12-9d1a-4c9b-afa3-c3000f0303ac,Ahmed Khalil,https://play-lh.googleusercontent.com/a-/ACB-R5SPD0Bg6_Y7k6_NE4NNzaHnCYgSFC79CNmLQcm8SQ,Helped me learn python like no other,5,0,67.0.1,2022-12-13 12:19:18,,,POSITIVE,python
413,744ea648-e506-47b8-b7af-ce2e15b0b3ea,Yinka Adeosun,https://play-lh.googleusercontent.com/a/AGNmyxaP_XHgg4PY7k-FKqhWUvLWjXkdNgI4oHy4rPUW=mo,The ipython command prompt is broken! Sometimes ordinary print function is not callable. Erase of commands is difficult using back key button.,3,0,64.0.0,2022-11-02 06:05:02,"Our Support team would be happy to address your issue and take a look! In order to better address your inquiry, can you submit a Support ticket request here (https://support.datacamp.com/hc/en-us/requests/new) so we can troubleshoot with your DataCamp account?",2022-11-04 13:57:19,NEGATIVE,python
475,d86cb5bd-ae8c-49e0-bb8e-ebe06a3c0691,Joseph Garcia,https://play-lh.googleusercontent.com/a-/ACB-R5Qh2D64tk3SOobhoYJLIVyU3zT4CeWE0uQLcxMsxA,Im leaning python!,5,0,62.1.0,2022-10-14 09:01:35,,,NEGATIVE,python
657,a04adf34-ab4c-45e5-9184-fc471e346ebe,Urica Kate,https://play-lh.googleusercontent.com/a-/ACB-R5SqhnaPT2X3zlxPwxpSz0Og6ZqPCk8BNrktIhyEbw,"I can't believe that I'm about to learn Introduction to python. Tech language felt so scary and heavy to me until I got accepted into datacamp, and so far it's been a very beginner friendly journey. I'm so excited to switch into tech and for some reason I'm very confident that Data Camp will lead me home. Thank you so much guys.",5,0,59.0.0,2022-08-27 19:50:51,,,POSITIVE,python
