reviewId,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob,End_Pos
0,DataCamp,35,,ORG,0.9998810291290283,43.0
0,DataCamp,232,,ORG,0.997983455657959,240.0
0,DataCamp,868,,ORG,0.8477808833122253,876.0
1,DataCamp,316,,MISC,0.985697865486145,324.0
2,AppStore,671,,ORG,0.9419241547584534,679.0
3,Python,98,,MISC,0.9999494552612305,104.0
3,DataCamp,409,,ORG,0.999947190284729,417.0
4,Hugo,519,,PER,0.9999722242355347,523.0
4,Python,585,,MISC,0.9998966455459595,591.0
4,Linux,728,,MISC,0.999695897102356,733.0
4,Wall Street Finance,749,,ORG,0.9999885559082031,768.0
4,Java,905,,MISC,0.9985842704772949,909.0
4,C,914,,MISC,0.6643534898757935,915.0
5,Data Science for Everyone,402,,MISC,0.9998478144407272,427.0
6,DataCamp,240,,ORG,0.9999630451202393,248.0
8,Pandas,350,,MISC,0.9999728202819824,356.0
9,Python,38,,MISC,0.9996764659881592,44.0
9,DataCamp,50,,ORG,0.9989155530929565,58.0
9,R,382,,MISC,0.9972661733627319,383.0
9,Python,385,,MISC,0.9997568726539612,391.0
9,SQL,393,,MISC,0.7262014150619507,396.0
10,DataCamp,471,,MISC,0.9998001456260681,479.0
11,DataCamp,477,,ORG,0.9998685121536255,485.0
12,DataCamp,8,,ORG,0.9995453953742981,16.0
12,R,239,,MISC,0.9941984415054321,240.0
12,Python,244,,MISC,0.9998319149017334,250.0
12,Power BI,346,,MISC,0.9876988232135773,354.0
12,Excel,359,,MISC,0.9994298815727234,364.0
13,DataCamp,447,,ORG,0.9999842643737793,455.0
14,App Store,33,,ORG,0.9513957500457764,42.0
14,DataCamp,424,,ORG,0.9999125003814697,432.0
15,iPad Pro,360,,MISC,0.9999361634254456,368.0
16,Starbucks,451,,ORG,0.9999560117721558,460.0
17,SQL,35,,MISC,0.6639106273651123,38.0
17,SQL,107,,MISC,0.9408848881721497,110.0
17,R,448,,MISC,0.9999181032180786,449.0
17,Python,454,,MISC,0.9999685287475586,460.0
20,Datacamp,0,,MISC,0.999607503414154,8.0
