Unnamed: 0,reviewId,userName,userImage,review,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,standardizedReview
0,5048bbd6-6987-4e30-8f18-4ddf711f3293,Jerenee Charles,https://play-lh.googleusercontent.com/a-/ACB-R5QEU4y5p4VlkdARkgkemzcuWfTX6AcgkAONIBq1YuA,Datacamp is one of my favorite programs for gaining foundational knowledge about data science and machine learning.,5,0,75.0.0,2023-03-24 21:09:12,,,POSITIVE,datacamp one favorite programs gaining foundational knowledge data science machine learning
1,1e104afb-9b6d-4954-b84a-36c0a8bf7b7d,Oluwadare Fagbamigbe,https://play-lh.googleusercontent.com/a-/ACB-R5QoT5nmx7naRLIsQUMn3Z3bqpDKN9WpKZ2B1wbB,Very easy to use.,4,0,,2023-03-24 11:23:15,,,POSITIVE,easy use
2,401c3215-d3c7-4c3c-8608-478ca18ec1b4,Bence Zaupper,https://play-lh.googleusercontent.com/a/AGNmyxZoIU4OQtvgQUxBus33kJPI3x_rS8UKvdpOl6nV=mo,"Great app, enabled me to solve coding exercises on the way",5,0,73.0.0,2023-03-22 20:41:13,,,POSITIVE,great app enabled solve coding exercises way
3,4a3e6b48-290f-4ba9-a9fa-3b73672571b5,Chioma Ebe,https://play-lh.googleusercontent.com/a-/ACB-R5RZODbfcQuNF3lazPaLEg2ukIzbFlekL89XZiBn,Its quite easy to understand,5,0,69.0.0,2023-03-22 11:17:38,,,POSITIVE,quite easy understand
4,5c0fc7ca-e754-411d-aebf-990824ab04b2,Sundiata Keita,https://play-lh.googleusercontent.com/a-/ACB-R5QeyUM8DeqHMv8GpkJ8OfPPEspr4wO9xb9BPy2ajQ,Still learning but so far it's 👍 good,5,0,75.0.0,2023-03-22 10:21:34,,,POSITIVE,still learning far good
5,777cc320-eaf3-4194-ab4e-fb3729ad4e8c,SPIRIT PRODIGY,https://play-lh.googleusercontent.com/a-/ACB-R5Q4q52gPHpcIiIA4HheLh1wCH6W-vJMr0V1n9O78Q,"Seemless, relevant and elaborate contents",5,0,75.0.0,2023-03-22 05:56:35,,,POSITIVE,seemless relevant elaborate contents
6,7d50e4a9-d7d5-4055-9273-ab23bcc56b18,sadek ahmed,https://play-lh.googleusercontent.com/a/AGNmyxbL4m1MGfeEMXrdIkv528AGdNPoDhFZuCNRv1QZ=mo,"It is very helpful for a beginer, because it provides a learner both video lesson and practice session also a lot of workshop.",5,0,73.0.0,2023-03-21 10:58:00,,,POSITIVE,helpful beginer provides learner video lesson practice session also lot workshop
7,f9366100-8ff2-44f0-b5a6-14e966b2d212,Whitchy Augustin,https://play-lh.googleusercontent.com/a/AGNmyxYJnUZwE_NvA7SZgLrcpMIWbReh01GxsqjK7GUn=mo,I learn a lot about data science and there a lot of exercises to practice. Practice makes perfect,5,0,73.0.0,2023-03-21 08:56:18,,,POSITIVE,learn lot data science lot exercises practice practice makes perfect
8,35109497-aa92-4eef-b3a3-9f890386dc2d,Idowu Olaseni,https://play-lh.googleusercontent.com/a/AGNmyxZGujCB2CGpT_IErncA5C6j3G935D8ZY6peO7tt=mo,Courses are well structured and the app is so easy to use.,5,0,72.0.0,2023-03-21 07:22:45,,,POSITIVE,courses well structured app easy use
9,ef828bd1-308a-4ede-8fa8-8e43819d353f,Tinotenda Garikayi,https://play-lh.googleusercontent.com/a-/ACB-R5RUcYhdsKfNBBynykWcBGhJTnEzFY2gV39jtydb7Q,The courses are top notch💯,5,0,,2023-03-20 11:21:58,,,POSITIVE,courses top notch
