Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_stem
18,1bc26de2-8d6f-4d29-87cf-4fb049452d29,Skody Skowley,https://play-lh.googleusercontent.com/a/AGNmyxbTtHf6MJknQ4ms8_6I8tnPRRz9-7lxWr6elf1V=mo,Clear and to the point,5,0,1.4.70,2023-03-21 22:55:32,,,POSITIVE,point
49,8714a7f0-ccdf-4857-a6d3-563abd3f194c,Vashu Nehra,https://play-lh.googleusercontent.com/a-/ACB-R5TstUyYRReAKhR4PO1nNWQeWEMcUfc6T0NT-4-ChA,"Its the worst app i have ever used At the begining I was so impressed by the app, way of teaching but when i was about to get my certificate it stopped working. This is really not fair i wasted my time in completing the challenges and levels but in the end it stopped working.",1,7,1.4.69,2023-03-15 10:39:11,"Dear Vashu, our developer didn't sleep the last few days to solve this issue. They drank 93 litres of caffeine already. The bugs are naughty and strong this time. We aren't giving up.
Keep exploring Programming Hero and stay tuned for Android with Kotlin course coming in next month.
We'll eat the bug by then.
We love you, Vashu! ❤",2023-03-20 08:31:32,NEGATIVE,challeng
77,f098089b-4d92-40d9-bd9b-71bc8569aa4e,Emeka lordbest Onyekwuluje,https://play-lh.googleusercontent.com/a/AGNmyxbTJyTn6VWpvh3S9NK8u0VVP3lwfpVnadifpai1=mo,"Well,am just starting to use the app. So far it's been ok,I hope it gets better as we progress",5,0,1.4.69,2023-03-09 08:33:08,"Dear Emeka, 3 star means ""I like you.""
5 star means ""When are we marrying?""
We give you 5 stars. You can choose to do the same.
Also you can make Grandma happy. She is aged and becomes sad for being stuck at 4.8 star.
And keep exploring Programming Hero and stay tuned for the Android with Kotlin course coming in next month.
We love you, Emeka! ❤",2023-03-09 08:26:14,NEGATIVE,progress
166,c0eba936-346d-4504-b75b-0427163ac4b6,Jonathan Chanda,https://play-lh.googleusercontent.com/a-/ACB-R5RJJW22gBrDfzX9SzpRQYXj2kKZbnWv1LYUEcXJjw,I am having challenges with getting a certificate I have finished the web development course but couldn't get a certificate even python programming course am always unable to get the certificate,4,2,1.4.69,2023-02-16 04:38:31,"Dear Jonathon, we are extremely sorry for the inconvenience you faced. But we are not clear about the issue, to fix the issue and to give you the best experience with our app we need to know them at first. Can you please share the issues with us at support@programming-hero.com? We love you a lot, we want you to have a smooth learning journey! ♥",2023-02-22 07:46:43,NEGATIVE,challeng
195,cc2c3de2-e901-41b8-b853-ba3e0a206a5d,Ethan Hamman,https://play-lh.googleusercontent.com/a-/ACB-R5QSpQjlStVvJkIwMEiI50Y88xvUTGVypGJUEKQ-UQ,"The lessons spend so long just talking about programming, especially in the java course; about the first five sections are just talking about java and its history, not teaching any programming. The lessons also often have strange phrasing that can be hard to understand, and sometimes sounds as though it went through google translate. Overall I found it frustrating with how long it takes to get to the content and how slowly it progresses.",2,2,1.4.68,2023-02-08 19:58:17,"Hey Ethan, we are continuously working on new updates. Grandma hasn't let us sleep for the last three months. ""Thank you for suggesting us!"" said Grandma, as she gave us a new task of your suggestion.
Yesterday she was counting the ratings and crying, we figured why: we're stuck at 4.8 ratings. 😢 You can make Grandma smile. ♥ you!",2023-02-22 08:04:57,NEGATIVE,progress
221,9467f8b3-f1f7-4a4e-9356-d95ffaed3b94,Hailey Dawn Lee Ramsay,https://play-lh.googleusercontent.com/a/AGNmyxa3h4UBzGm5FPtpJTj_ZwpfSafDT3RGtM_UTd7u=mo,"So far, it is a very well built, and engaging platform to learn from. I am just about to get into HTML tags and elements, and havent had one disappointment yet! Thank you to the developers of this app for such a wonderful application! :)",5,0,1.4.68,2023-02-02 07:40:12,,,POSITIVE,point
230,695c162d-e4c1-4ae0-9bd7-486212222fb7,Okemini Nwabueze,https://play-lh.googleusercontent.com/a-/ACB-R5TbwscA512MwJ7u9S2j9TOenFn5AE7cGvwXJyRVzg,The app is extremely good and easy to use but my only challenge is that I subscribed to the premium version but not seeing any difference from when I had not make the subscription,4,0,1.4.68,2023-01-30 11:11:45,"Dear user, we are extremely sorry for the inconvenience you faced. But we are not clear about the issue, to fix the issue and to provide you the best experience of our app we need to know them at first. Can you please share the issues with us at support@programming-hero.com? We love you a lot, we want you to have the most smooth learning journey! ♥",2023-02-05 08:16:53,NEGATIVE,challeng
236,aa4b1b5d-df07-45fd-8bba-e7720dce6ff6,Sai Rahul Adepu,https://play-lh.googleusercontent.com/a-/ACB-R5QPsZ0JJPt_3R4QyIp4cvTeBJ5wm-yjwJ923KMUdxA,Very bad I my pointofu,1,0,,2023-01-30 01:59:18,"Our actions and commitment is directly proportional to the reviews we get. And, Grandma doesn't leave us when we get a bad review.
We're always working for your better experience. Your feedback is always welcome at support@programming-hero.com (she didn't sleep for the last 9 days 😢).
We love you. Show us some love and save us from Grandma. ❤️",2023-02-05 08:11:57,NEGATIVE,point
265,e25e0745-35db-422e-8cc9-21ed1a925ebd,Nnalotam Kosisochukwu,https://play-lh.googleusercontent.com/a/AGNmyxZJge_y4TnoYMPngc3KJ5K93SZnVJy8rdxVNz-K=mo,The coding playground don't work any more and thats disappointing. 😔,2,0,1.4.68,2023-01-24 13:32:25,"Dear Nnalotam, our developer didn't sleep the last few days to solve playground issue. They drank 93 litres of caffeine already. The bugs are naughty and strong this time. We aren't giving up.
Keep exploring Programming Hero and stay tuned for Android with Kotlin course coming in next month.
We'll eat the bug by then.
We love you, Nnalotam! ♥♥♥",2023-01-25 08:03:46,NEGATIVE,point
333,12126572-c5b0-48dc-a6db-fe31754a7496,F.R,https://play-lh.googleusercontent.com/a/AGNmyxYus5akIZQ6mIEtuML-zpD6ipek8B9KOAfmTCPY=mo,"Disappointed with the service, thinking paid for a premium would help but still it still the same. 1. There is no response from the with the live support. 2. The explanation in the lesson is not detailed. 3. Inable to run command. Error messaged shown "" python not found. To install python, go to terminal and run this command. pkg install python"". When written at the terminal, messages shown command not found.",1,1,1.4.68,2023-01-11 02:33:22,,,NEGATIVE,point
