Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_stem
22,5dc112af-97cf-4c5b-a131-d8a7914fbccf,Mohamad Shedeed,https://play-lh.googleusercontent.com/a-/ACB-R5QkEq014AXtmMjIQNMTvyiOBVjFntGkL45tmyrZXQ,The app is interesting. It allows easy and quick practice to keep progress on.,5,0,71.0.0,2023-03-15 12:07:40,,,POSITIVE,progress
51,807223f6-18c8-4af8-adb2-de5e861dacaf,that one kid,https://play-lh.googleusercontent.com/a-/ACB-R5TaUeMzagrYZsSojV5gfq7KnOnM9i3KahXEGH8Ol8k,"High level of usability, when to compared to competitors, the courses are great and accessible from mobile",5,0,72.0.0,2023-03-07 13:05:53,,,POSITIVE,competit
57,e6e19545-90df-454d-a786-b64abe75414d,Odysseas Pantos,https://play-lh.googleusercontent.com/a/AGNmyxaPxjbrb8OwbNaBY52FUHgopdarYsCsqM4CV6gh=mo,"it was free for mobile now tou need to pay , they didn't inform me before policy change so I could complete my courses , now they are locked in Middle of the progress.",1,1,72.0.0,2023-03-06 15:39:31,,,NEGATIVE,progress
117,2bcbdab4-666f-4bfd-aa07-51c638e80471,Damon Sams,https://play-lh.googleusercontent.com/a-/ACB-R5T9B7lqWeq9RU_Um9IAC07kwD3A4PSqLSRzXl2FFBw,I really enjoy the daily challenges that keep enforcing what you learned with online classes.,5,0,70.0.0,2023-02-14 18:33:18,,,POSITIVE,challeng
202,77ee9700-a47f-442a-8625-90a3129df693,Praprara Owodeha-ashaka,https://play-lh.googleusercontent.com/a/AGNmyxb4-2dynhrP2h1HOkNa_V_mKzGpwMjHHKDSveog=mo,"Dope. Nice for beginners who are ""busy"". Just do one exercise a day. Atomic habits",5,0,69.0.0,2023-01-14 09:56:39,,,POSITIVE,habit
204,97025181-5c15-4968-a9f0-6864b5e9c41b,Wendy Karmun,https://play-lh.googleusercontent.com/a/AGNmyxZmFuYkssybNa0oQAUIlH6xoUSwZKOTAoZmMekb=mo,"It's easy in the beginning but it gets challenging, you are able to do a course multiple times until you complete it. It gives advice on what to do when you didn't get it the first time. I love it",5,0,69.0.0,2023-01-13 22:20:23,,,POSITIVE,challeng
253,b7f626e2-690b-4d0a-b037-52099151e807,Long Tran,https://play-lh.googleusercontent.com/a-/ACB-R5QijTa11ljP_mZiMZoiO3t3dG5ils7smnAyW4GR_0Y,"Awesome app to learn data topics on the go. Clean and smart UI. Informative and easy-to-follow content. Overall, it is a good and more mobile option aside from PC. Help protect the daily streak.",5,1,69.0.0,2022-12-31 22:31:45,,,POSITIVE,streak
274,44ab280d-ce93-4e46-90c8-690d3baf8f93,Nicholas Cook,https://play-lh.googleusercontent.com/a-/ACB-R5TdF9-wyAqdd6y_o5L8I6jzV29Fd-xPKd1C5HwI,"Excellent resource for those serious about learning data science. Builds your knowledge from the foundations and is consistently challenging enough to keep you interested, but not so hard that you're lost. Currently on a 150+ day streak with the premium plan, doing a chapter a day, when normally I'm not great with consistency and have a tendency to procrastinate. Haven't had any major issues with the app that a restart couldn't solve, and progress is now kept between the app and desktop site.",5,17,68.0.1,2022-12-24 15:14:04,,,POSITIVE,"streak, challeng, progress"
335,9d21aba6-a714-4cc8-be31-51c995c42ac7,Rebecca O,https://play-lh.googleusercontent.com/a/AGNmyxZNOMBvQiXG_yQMOt4AGBbMCRzlsPm-FeQqhqDw=mo,Great app to learn lessons in a more digestible manner than my current program class. I love the accesible videos with captions in various languages and there are examples that are explained WITH visuals! Would love to be able to be able to do 2 lessons a day instead of one (happened to me after a certain point in my progress) so if you are learning two languages then you can atleast do 1 lesson for each language.,5,0,66.0.0,2022-11-22 01:10:35,,,POSITIVE,"progress, point"
352,bafaad4e-0bb1-4d7d-b9c0-d34b4fcea57d,Felix Wagner,https://play-lh.googleusercontent.com/a/AGNmyxZGaLip20FNA4avCP5TBOLpWzxJ9PJ_vQFlE937=mo,Great adjustments made from the browser version for a high level of usability. Only thing that is lacking is to run single lines of code. Overall Datacamp is a great way to acquire data related skills. The app makes it possible to learn even on short breaks or on the way to work in the morning. Exactly what i was looking for!,5,8,66.0.0,2022-11-17 05:19:19,,,POSITIVE,break
