,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,language
1,2a825b44-a4e7-4e6b-948c-218f21871b73,Esmeralda Cáceres Patricio,https://play-lh.googleusercontent.com/a/AGNmyxZ37mUEJDePDTpwXE_BiSUc54Y5WPt7spoEhGck=mo,"Muy didáctico, muy útil para empezar con lo básico y ir mejorando.",4,0,77.0.1,2023-05-01 16:35:48,,,77.0.1,es
3,66fa2dcd-a64e-483e-8146-8a6d36cfc9c6,augusto altamirano,https://play-lh.googleusercontent.com/a/AGNmyxZOfAdfPxTOXSgtIAtyZYfvTAMgN2j63nd2tIuk=mo,Excelente contenido y aplicación.,5,0,75.0.0,2023-04-29 00:29:38,,,75.0.0,es
4,fa0de8f5-7085-43a6-a983-18240e88d371,Marco Polo Elizais Castillo,https://play-lh.googleusercontent.com/a-/ACB-R5RrYH0_ag33QzxMq3FwHw9zlP6vJjfit6C_nrVwhQ,Perfecta para aumentar los skills 👌,5,0,77.0.0,2023-04-27 03:51:36,,,77.0.0,es
5,e63f4520-fab5-4d27-a545-5394e737e806,Dani Prado,https://play-lh.googleusercontent.com/a-/ACB-R5TXyLJk7nKH_ra9eEt9gIlDPz8pG6_Iiiqh9wwp,Genial pero sin modo offline :(,4,0,75.0.0,2023-04-23 13:14:33,,,75.0.0,es
8,923bc0f3-0038-4aa5-b3f5-fdc88787ee36,Andres Lomonaco,https://play-lh.googleusercontent.com/a-/ACB-R5T3UQDv8gPOBz20caHiMWknXbpUR3j0XxUxqTY_,"Realice el track de Python y no fue muy bueno pero por lo menos funcionaba. Luego me uní al de PowerBI y no carga la plataforma. Luego de múltiples emails, envíos de capturas de pantalla, cambios de seteo de sistemas, aun no funciona y no tengo una respuesta adecuada. Deja mucho que desear el departamento de soporte. No lo recomiendo.",1,0,75.0.0,2023-04-08 09:37:19,"Hey Andres,

Thank you for reaching out to DataCamp Support! My name is Kay, and I would be happy to help out.

May I ask for more information about your feedback?

Stay safe!",2023-04-09 00:26:49,75.0.0,es
10,7d3d2386-e717-4baa-ac6d-c2c240a61bf7,Ema Gargiulo Urdanivia,https://play-lh.googleusercontent.com/a-/ACB-R5TQMa8opzh02H0NgtagCNKa-p-fBZT0j3imYHn_IA,"Aplicación enfocada al análisis de datos, muy clara y von ejemplos para practicar.",5,1,75.0.0,2023-04-02 22:07:59,,,75.0.0,es
11,a1ab89da-e91a-4f15-a807-48329eb51469,Mayte Tijeras,https://play-lh.googleusercontent.com/a-/ACB-R5Q6QzoXa4D4685PKrEr386CvjL8RN1hB331hYM5SHI,"La app es perfecta para usarla como completo a la plataforma en el pc, te permite escuchar los audios o verlos mientras te mueves o haces otra cosa y no estás al lado del pc, me parece genial",5,0,75.0.0,2023-04-01 14:50:13,,,75.0.0,es
12,71b2ec2c-a289-4c7e-acc4-ba531edf9a58,Jorge Luis Salcedo Maldonado,https://play-lh.googleusercontent.com/a-/ACB-R5QWOOjxOHJmo-IzLJSWfkbTNjpQtCOfxY85MxoKn6A,"He probado diferentes plataformas de aprendizaje para temas de programación y de lejos considero es la mejor, más interactiva y con la que puedes aprender mejor y más fácil",5,1,75.0.0,2023-03-30 17:35:34,,,75.0.0,es
14,6b5ada00-b956-461c-aeb3-67ba88062e55,marianella santiago,https://play-lh.googleusercontent.com/a-/ACB-R5ToAOW0smDBky6rZlhiOHBrIEhoKfhJ61JQ2fyAHHk,Excelente plataforma de aprendizaje,5,0,75.0.0,2023-03-30 10:48:28,,,75.0.0,es
20,8828ec68-06b5-424e-aec9-f9095be882e5,Viviana Castro,https://play-lh.googleusercontent.com/a/AGNmyxZfmEaehkPNNqQ6PEd0Xxb6h02dafm3lIwzyR5Z=mo,Fácil de usar y consultar en todo momento,5,0,73.0.0,2023-03-19 16:58:35,,,73.0.0,es
21,3dba33d8-712f-4ba7-ae3e-9183a5e5b7f9,yecedesa,https://play-lh.googleusercontent.com/a-/ACB-R5QE4Zcxi3-7P9Qgh-eARnsfBSu12OF4iijdbbOV,Excelente plataforma,4,0,,2023-03-14 15:33:27,,,,es
