Unnamed: 0,date,developerResponse,content,rating,isEdited,userName,title,sentiment,matched_python,reviewId,userImage,review,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,standardizedReview,mentionedFeature,mentionedSynonyms
766,2022-11-05 16:17:56,,,5,,Samuel F.O,,POSITIVE,python,2c050040-bfd9-45cf-bbd3-0c5fccb8ade8,https://play-lh.googleusercontent.com/a-/ACB-R5R42kUZ35p21AyleqwojiDD0ItjLPdtxIIkOcb-mQ,This is very good and it helps the beginning to no more about programming specially python,0.0,pythonx_1.1.7,Thank you for your encouraging words. Keep learning!!,2022-11-23 03:17:03,good helps beginning programming specially python,boosters,special
1053,2022-09-24 07:14:06,,,5,,Nirva Kamble,,POSITIVE,python,2700684a-3e08-4e88-9bf3-626ac06b0dbc,https://play-lh.googleusercontent.com/a-/ACB-R5RhF-qVMiGHKTGgselXP0vUe3gct-1kfmtsUOee,It is a really really really great app for beginners to learn about python especially for people who wanna learn programming,0.0,pythonx_1.1.7,"Hi, Thank you for your kind words, We’re grateful for your feedback. It’s our pleasure to provide the best possible service to our users, and we’re glad we were able to meet the expectation of yours . If you need any assistance, reach us at hello@codingx.app and we'll be very happy to assist you. Have a wonderful day! -HSG",2022-10-19 15:42:41,really really really great app beginners learn python especially people wanna learn programming,boosters,special
1146,2022-09-08 21:13:59,,,5,,Sukesh Suki,,POSITIVE,python,bec89e93-05db-4ce0-bcec-79f66d40615a,https://play-lh.googleusercontent.com/a-/ACB-R5T74SFKeWXRNre_U17GKvsjyHiR7fjiylQvAE5d_7U,I think this app is special to learn python i love the way of teaching,0.0,pythonx_1.1.7,"Hi, Thank you for your kind words, We’re grateful for your feedback. It’s our pleasure to provide the best possible service to our users, and we’re glad we were able to meet the expectation of yours . If you need any assistance, reach us at hello@codingx.app and we'll be very happy to assist you. Have a wonderful day! -HSG",2022-10-19 15:47:04,think app special learn python love way teaching,boosters,special
1400,2022-08-04 08:32:40,,,5,,Rasithithi Onndwela,,POSITIVE,python,a02e4524-41b6-4a24-b102-ca312d352762,https://play-lh.googleusercontent.com/a/AGNmyxbmOl7lDZzZJuY87Oep1yGOtHscM2cSPJdkl0OR=mo,"It's an awesome app , i've learned a lot about python programming , just one suggestion , i live in south Africa and when they check my certificate they will need to see my ID number aswell so i you can add that feature on the certificate i will be greatefull and also if you can add email address as well on the certificate it the certificate would be much more efficient, Great app by the way 🙏🏽🏅🏅🏅🏅🏅👍👍110%",0.0,pythonx_1.1.7,"Dear Friend, Hurray! Your feedback really means a lot to us! We really appreciate you taking the time out to share your experience with us. If you need any assistance, please feel free to get in touch with us at hello@codingx.app so we can help you better. -HSG
",2022-08-05 12:48:48,awesome app ive learned lot python programming one suggestion live south africa check certificate need see id number aswell add feature certificate greatefull also add email address well certificate certificate would much efficient great app way 110,torture breaks,live
1635,2022-06-26 12:46:00,,,2,,Michael Osmon,,NEGATIVE,python,3d8ad434-0753-47c3-bb28-026c8b06ae05,https://play-lh.googleusercontent.com/a-/ACB-R5RRNssThTu6HpdvIyt1sIRqKDOOLATXDTs_ZKyZ6g,"This isn't awesome imo. On the 3rd so called lesson it tells you the guy who created python got the idea from watching a TV show, then you take the ""quiz"" and the question says he named the program language after a tv show...true or false? The app says the correct answer is true but the language doesn't match. That's not accurate and in using python accuracy is critically important. You'd think an app teaching python would stress on accuracy....especially if they value it over $300 for premium.",0.0,pythonx_1.1.7,"Hi Friend,
Thank you for writing to us. We agree that the content should be free but our learners deserve quality content, so we had to hire experts to create it. Reach out to us at hello@codingx.app and we'll definitely reach out to you with a solution that makes you happy.
-Online Institute of Hacking
",2022-07-04 16:15:42,isnt awesome imo 3rd called lesson tells guy created python got idea watching tv show take quiz question says named program language tv showtrue false app says correct answer true language doesnt match thats accurate using python accuracy critically important youd think app teaching python would stress accuracyespecially value 300 premium,boosters,special
2022,2022-04-08 12:30:19,,,1,,Aaron Clayton,,NEGATIVE,python,19be5cb5-6349-4d78-8b51-00de7659ea43,https://play-lh.googleusercontent.com/a/AGNmyxbeuRHoeEiih_qPalDEz2jxkvP7-F9PnnwVCupW=mo,"Horrible business model. They constantly send push notifications saying that you have a personal deal. People aren't dumb. It's very obvious that the app is showing an up charge and then making you think you're getting a ""deal"". Just use YouTube or udemy to learn python. This app is a garbage money grab.",0.0,pythonx_1.1.4,"Hi, We apologize for the inconvenience. We agree that the content should be free but our learners deserve quality content, so we had to hire experts to create it. Can you be more specific please so that we can identify the issue? Don't hesitate to reach out to us at hello@codingx.app. -JP",2022-04-18 15:32:29,horrible business model constantly send push notifications saying personal deal people arent dumb obvious app showing charge making think youre getting deal use youtube udemy learn python app garbage money grab,status quo sloth,person
3123,2021-06-01 04:22:27,,,5,,Mahdi Hasan,,POSITIVE,python,d9684caa-f83c-49dc-b05d-4455078e3c49,https://play-lh.googleusercontent.com/a-/ACB-R5RRRhGChqh9WmP1T-x1CMLvofn90zs-_Qd-y8pm,"It's an amazing application to adopt this programming language named ""python"". We can do step by step progress and all the features are personalized. Highly recommend the begginers who want to learn python from the root!",4.0,pythonx_1.0.9,"Hey Mahdi, thank you for your wonderful feedback! Our goal is to make your learning experience with us enjoyable and straightforward. Do recommend us to your friends too! :) If you need any assistance, please reach us at Hello@codingx.app and we'll be very happy to assist you!
-Joy",2021-06-01 11:46:36,amazing application adopt programming language named python step step progress features personalized highly recommend begginers want learn python root,status quo sloth,person
3232,2021-04-15 22:57:08,,,5,,doomknight doom,,POSITIVE,python,5449038e-270c-4e2c-80e2-e981eaaf5b25,https://play-lh.googleusercontent.com/a-/ACB-R5QdzjjOEQVgiJTN0TUT-WnXJOUb9OjejV_oaL9Frg,Seems straight forward and even though I'm a beginner I'm actually knowing python more in a personal level,1.0,pythonx_1.0.8,"Hey mate, thank you for your wonderful feedback! Our goal is to make your learning experience with us enjoyable and straightforward. Do recommend us to your friends too! :) If you need any assistance, please reach us at Hello@codingx.app and we'll be very happy to assist you!
-Joy
",2021-04-17 11:49:07,seems straight forward even though im beginner im actually knowing python personal level,status quo sloth,person
3299,2021-03-29 23:15:14,,,1,,BHAVESH YT GAMING,,POSITIVE,python,604e5df1-9cb9-4024-b169-dd7b4218bf01,https://play-lh.googleusercontent.com/a-/ACB-R5R271wn7ad_6e08KlHOTzDuR8PavE2lbo0R5EHCLQ,This app is good but it is asking for pro versions I am from poor family we don't have bank accounts lick so plz can you give me in free .It was my dream to learn python programmering. If you can plz...help me......,0.0,pythonx_1.0.8,"Dear Bhavesh YT Gaming, We appreciate your eagerness to learn! Because of the ongoing pandemic we have reduced the course fee to much a lower extent. You won't regret after taking it because our courses are backed by research and are developed by Industry experts. In order to continue providing quality content, we have to monetize our content. -AB",2021-03-31 00:57:43,app good asking pro versions poor family dont bank accounts lick plz give free dream learn python programmering plzhelp,status quo sloth,account
3320,2021-03-27 05:23:30,,,1,,SAWAR MINES,,NEGATIVE,python,e93ad85e-b38f-4e63-8a7a-283b051dabd5,https://play-lh.googleusercontent.com/a/AGNmyxYUmkHWP9OfVakUngHdHFoJJFmM27_O3ta7R4DJ=mo,"Please Don't buy python X's pro version. PythonX is just CHEATING THE CUSTOMERS. This is happening with ALL THOSE WHO PAID, one can read all the 1 star reviews of people who got cheated. I bought pro version a month ago, sent pics of payment, GPA atleast 10 times, cleared data, logged out-logged in a 100 times as they asked me to do still pro version is not activated. Just sending repeated reply for my mails. They will give another diplomatic reply for this review and will not do anything.",2.0,,"Dear Sawar Mines, We totally understand your frustration regarding this issue. We apologize for the unsatisfactory experience and the delay in response, we are looking into the issue. We kindly request you to reach out to us at Hello@CodingX.app, with the screenshot of the payment so that we can help you at the earliest. -AB",2021-03-31 01:18:25,please dont buy python xs pro version pythonx cheating customers happening paid one read 1 star reviews people got cheated bought pro version month ago sent pics payment gpa atleast 10 times cleared data logged outlogged 100 times asked still pro version activated sending repeated reply mails give another diplomatic reply review anything,status quo sloth,custom
