Unnamed: 0,date,developerResponse,content,rating,isEdited,userName,title,sentiment,matched_python,reviewId,userImage,review,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,standardizedReview,mentionedFeature,mentionedSynonyms
1606,2022-11-11 22:30:41,,,1,,Ian Mount,,NEGATIVE,python,7bc3902a-f4c2-42e1-9e0b-dd4e4ef15dc0,https://play-lh.googleusercontent.com/a/AGNmyxYz7yu4o38-FebNT3hPMP2EEftTIZOPdbHsJOgX=mo,I really need someone from admin to get back to me I purchased the pro lifetime account and received my first certificate for python re logged back into my account the next day and it's empty has no certificates is still Pro has no progress,0.0,,"Dear Friend
Please accept our sincere apologies. We request you to log out and log in / reinstall the application to check if it works. If it doesn't, please share your purchase receipt and registered email id at  Hello@prghub.com and we will definitely solve your issue
-MB",2022-11-12 05:38:44,really need someone admin get back purchased pro lifetime account received first certificate python logged back account next day empty certificates still pro progress,status quo sloth,account
2644,2022-08-26 03:36:27,,,1,,Patrik Niklasson,,NEGATIVE,python,9b88e3c3-81ab-4b80-bfca-3088af7a4e6f,https://play-lh.googleusercontent.com/a/AGNmyxb0cI0Bd9XUpeEU_JjNYRsN5vkdIxG4p8V7qhDf=mo,"You can't get so far with python, and I think this and the app ""hacking"" crashed my phone quite bad. Forget about the pro model and just use ads like any sane person. Also, Mozilla has a good HTML guide on their website.",0.0,5.1.56,"Dear Friend,
We apologize for the inconvenience caused, please reach us athello@prghub.com so that our agent will get back to you and guide you further.
-KY",2022-08-26 23:01:42,cant get far python think app hacking crashed phone quite bad forget pro model use ads like sane person also mozilla good html guide website,status quo sloth,person
2844,2022-08-14 12:28:18,,,5,,R.Jutson Santhosh,,POSITIVE,python,13a6c26c-f6a0-4a4e-948d-e19c0c1d04a4,https://play-lh.googleusercontent.com/a-/ACB-R5Skg0tA1qIBvGxZcbqNmY9X0Xhrz0M3s8oehoQ30w,It was very useful for learning the hacking and more things such as coding programming JavaScript and python so many specialties and features was available in the SAP please download the app and you set for to become a best programmer or best hacker this purpose this I have so very useful for us so we have to download this app and use it and get more and more right in our technology world.,0.0,5.1.56,"Dear Friend
Thank you for your wonderful feedback! Our goal is to make our learners the happiest and we will do everything for the same. Do recommend us to your friends too! :) If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!
-PS",2022-08-16 02:49:02,useful learning hacking things coding programming javascript python many specialties features available sap please download app set become best programmer best hacker purpose useful us download app use get right technology world,boosters,special
6271,2022-01-07 06:35:23,,,5,,ezra khamala,,POSITIVE,python,23d23d76-454f-480b-a0ee-bb0456d26c04,https://play-lh.googleusercontent.com/a-/ACB-R5TKWzqge8TL71oJNY6KSV3y7AqivvOY1GBFc452ow,The app is great especially when revising...it really makes you understand a concept as you'll need it to answer questions.i love it..hoping to understand more concepts in python.Less ads make it more suitable to use while learning.,6.0,5.1.50,"Dear Friend
Hurray! Your feedback really means a lot to us! We really appreciate you taking the time out to share your experience with us.If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-PS",2022-02-08 07:41:36,app great especially revisingit really makes understand concept youll need answer questionsi love ithoping understand concepts pythonless ads make suitable use learning,boosters,special
6343,2022-01-03 11:15:10,,,1,,chris fossey,,NEGATIVE,python,37137b17-f48f-441d-a5f9-026c36ed268a,https://play-lh.googleusercontent.com/a-/ACB-R5Rn1ta87vgUh5ac-XjmirhQAP_-gWLuMhwYoBk4Pw,"Says it's a free app to learn programming, but when I tried to learn python I found that the user input part of the course was behind a paywall, means it's just another pay to play app, they could of gone with a advert model instead and I could live with that but I have no idea if that would pay the developers enough to continue. Otherwise I think it's a great app.",22.0,5.1.50,"Hi Chris,
We'd love to offer everything for free but we need to sustain our team of experts to continuously improve and provide you with the best learning experience. Please get in touch with us at Hello@prghub.com so we can provide you with a solution that will make you smile :)
-PS

",2022-01-03 23:28:00,says free app learn programming tried learn python found user input part course behind paywall means another pay play app could gone advert model instead could live idea would pay developers enough continue otherwise think great app,torture breaks,"paywal, live"
8953,2021-08-03 09:03:29,,,5,,Madan Kumar M,,POSITIVE,python,328c55fd-230b-422c-b300-10024f2d3226,https://play-lh.googleusercontent.com/a-/ACB-R5Ta74TTHhuUa8DGR8B2yYPfgpMovRLqSyr6VnjeM7U,Such a amazing app learnt python in programming hub special thanks to entire team I loved the app so much and loved certification in the app so many course to learn and it's enhancing the skills thank you onces again 😊,5.0,5.1.47,"Dear Friend
We are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at Hello@prghub.com so that we can help you better.
--JS",2021-08-03 11:32:57,amazing app learnt python programming hub special thanks entire team loved app much loved certification app many course learn enhancing skills thank onces,boosters,special
9606,2021-07-04 08:55:42,,,3,,Vashu Vats,,NEGATIVE,python,49bfaf17-3b3a-44a1-968b-367508a411c0,https://play-lh.googleusercontent.com/a-/ACB-R5QskerLMPL4XitDEo-q6rzEN0gTUeh_jUQLQdxpdA,I have the premium subscription for lifetime and the overall content is really good but i am a beginner thus i am facing a major issue with this app that is it is not structured in a proper way like i shoud do html then html advance or css then what after that or in python first python3 then python then python advance and then machine learning with pythod or AI using python means which is the current order cant you provide a structured Playlist type feature for people like me who are beginners.,2.0,5.1.46,"Hello,

Hope you are doing fine.

Please sprinkle some awesomeness in us with a higher rating! Reach out to us at hello@prghub.com, If you're facing any difficulty or the issue you face is yet to solve, would be glad to offer you some personalized assistance. Have a good day.

-JP",2021-07-27 12:39:41,premium subscription lifetime overall content really good beginner thus facing major issue app structured proper way like shoud html html advance css python first python3 python python advance machine learning pythod ai using python means current order cant provide structured playlist type feature people like beginners,voting,content r
13338,2021-01-28 15:05:31,,,5,,Avesh Gaming World,,POSITIVE,python,932967d2-19fb-4563-a131-e6320c89868c,https://play-lh.googleusercontent.com/a-/ACB-R5RcO-ltOuGJrVch1gXX8UvZcuLA-DMhejQWb-yfBQ,"This is excellent app to learn codes like c++, java, python, html etc. It also contain videos lectures in middle of programming course, which is good part of this app and it has no any irritated ads, which is also excellent part of this application I really appreciate a person who developed this great apps.Thank you.",10.0,5.1.37,"Dear Friend,
Thank you! Your feedback is important to us. Please continue supporting us so we will always have a reason to keep improving our content and make your learning experience an enjoyable one. If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-JP",2021-01-30 13:52:50,excellent app learn codes like c java python html etc also contain videos lectures middle programming course good part app irritated ads also excellent part application really appreciate person developed great appsthank,status quo sloth,person
13341,2021-01-28 13:58:36,,,1,,Virginia Moore,,NEGATIVE,python,c0510885-835a-4797-8b3b-31caffde39c3,https://play-lh.googleusercontent.com/a-/ACB-R5QDYFq7_pjzLr-lIFZn4CfkD6dugUn-pGT1BYulrw,"Awful program and customer service. The lessons are poorly written and the information is extremely basic. It isn't worth the money whatsoever, and even after completing a ""certificate"" I don't know Python other than a few very basic commands. Save your money and get a book or try another app, because this won't teach you enough to actually DO anything with python and they'll refuse to make it right.",10.0,5.1.36,"Hi
We regret that we could not meet your expectation. We would like to hear from you about your expectation and difficulties faced in the app, so that we can understand you better as we mainly value our customer feedback and satisfaction. Please reach us at at Hello@prghub.com to help you better.
-JP",2021-01-29 03:32:25,awful program customer service lessons poorly written information extremely basic isnt worth money whatsoever even completing certificate dont know python basic commands save money get book try another app wont teach enough actually anything python theyll refuse make right,status quo sloth,custom
14443,2020-12-19 10:58:15,,,5,,Sharjeel Faiq,,POSITIVE,python,ead467e1-052a-4511-83a5-00cad9ae7149,https://play-lh.googleusercontent.com/a-/ACB-R5TjbQ-_9UU0HEBKJLOXFg7x73Q46h4cRSsSm0Z3AoU,I hope that I'll be having good time with this python learning app. Its attractive interface and brilliant way of representation makes it very easy to learn what's been taught. I appreciate the work of developers and every person who's behind it's development. Gratitude!,3.0,5.1.35,"Hi Muhammad ,
We are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at Hello@prghub.com so that we can help you better. Happy Learning!
-DK",2020-12-20 03:10:59,hope ill good time python learning app attractive interface brilliant way representation makes easy learn whats taught appreciate work developers every person whos behind development gratitude,status quo sloth,person
15679,2020-11-10 17:15:23,,,5,,Kanchana Gajanayake,,POSITIVE,python,b213cacd-8246-4ee9-bbaa-6b3d40772242,https://play-lh.googleusercontent.com/a/AGNmyxZjyFFa9yjDpE_QPeHEK6g3DTXbONSYBpysijCR=mo,I love it especially because I love to learn python and ethical hacking,0.0,5.1.34,"Dear Friend We're glad that we have been helpful to you. It is our goal to make your learning experience truly delightful and enjoyable. Do recommend us to your friends too! :)If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you! -JP",2020-11-11 12:50:26,love especially love learn python ethical hacking,boosters,special
