Unnamed: 0,date,developerResponse,content,rating,isEdited,userName,title,sentiment,matched_python,reviewId,userImage,review,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,standardizedReview,mentionedFeature,mentionedSynonyms
735,2023-03-03 20:42:57,,,1,,Jalal Rahbani,,NEGATIVE,python,22cc0ead-a20f-44ef-bfc7-ba8be880c3fb,https://play-lh.googleusercontent.com/a-/ACB-R5SElH5jW56qfs9SMs59nXm6NKkEsJKYDQASug4Gtg,"Customer support is inattentive and does not care about users. I recently switched to a new phone (S23 Ultra) and all previous python lessons I had already completed got locked again, while everything beyond the intermediate python lessons are still open (as they should). I reached out to support and they don't reply quickly and when they do, they don't read the email nor do they see the provided screenshots. I am left on 2 emails with no replies. Would not suggest mimo to anyone anymore.",2.0,3.118,"Hi Jalal! This sounds strange indeed and reinstalling the newest version should update it. We are sorry that you didn't feel supported, if you ever want to try out Mimo again, do drop us a message at support@getmimo.com and we are happy to welcome you.",2023-03-16 18:10:38,customer support inattentive care users recently switched new phone s23 ultra previous python lessons already completed got locked everything beyond intermediate python lessons still open reached support dont reply quickly dont read email see provided screenshots left 2 emails replies would suggest mimo anyone anymore,status quo sloth,custom
766,2023-03-02 15:23:18,,,5,,Ekel,,POSITIVE,python,b698e485-8de1-41d4-933f-c87ae56e1095,https://play-lh.googleusercontent.com/a/AGNmyxamyxRDJdxnOJp0-pKTUZ5t_nzuimXVHT9gOgOz=mo,"love the learning experience with mimo, especially the python category",0.0,,,,love learning experience mimo especially python category,boosters,special
1827,2023-01-15 16:05:39,,,3,,Lev D,,NEGATIVE,python,fc687f13-2a30-45ec-8810-03da34c19197,https://play-lh.googleusercontent.com/a-/ACB-R5RtTkWtNCiKpJpikNoFa2twjEBikO69lUbL2REuaQ,"Installed the app to refresh SQL knowledge. I was about to abandon the app when I had to choose between web development and python. Luckily, at last I found the course I needed. Having finished the course, I find it pretty boring, with too simple tasks that didn't really reinforce knowledge. Especially it was inconvenient to type commands on the phone keyboard. + No free certificates :( On the good side, the gamification engine with streaks and leaderboards seemed engaging.",73.0,3.111,"Hi there, thank you for the feedback. We also have a web version now for people who prefer to type the codes instead of studying on their phone. We already keep all our content for free so a few things are available for Pro users only such as certificates!",2023-02-09 08:40:47,installed app refresh sql knowledge abandon app choose web development python luckily last found course needed finished course find pretty boring simple tasks didnt really reinforce knowledge especially inconvenient type commands phone keyboard free certificates good side gamification engine streaks leaderboards seemed engaging,"leaderboard/competition, boosters, status quo sloth","leaderboard, special, leaderboard"
2247,2022-12-25 15:36:17,,,4,,Axton Steck,,POSITIVE,python,67581b92-ef0f-4725-88ca-37579518ec1d,https://play-lh.googleusercontent.com/a-/ACB-R5TLqDa760vmIqiVAEBjiqA8JtB4Y8yRBDpizIQNMg,I am currently learning python. The instructions are very clear and easy to follow. They also give you the option to go on your own path and edit their code I think that that personally helps me but it is optional.,1.0,3.108,,,currently learning python instructions clear easy follow also give option go path edit code think personally helps optional,status quo sloth,person
5787,2022-09-11 01:23:31,,,5,,Dennis Kariuki,,POSITIVE,python,3719bc29-0ebb-40c8-bb35-43c47e825aeb,https://play-lh.googleusercontent.com/a-/ACB-R5R9TeJ0aG6wbAPOS1Lf-_c7vau6kvpJV6tkNuNj4g,"The app is incredible,i wanted to learn python and use it in my projects but before i have known of this amazing app,i felt like i can stop since i could not get good learning materials. This amazing app has got all what i need thanks to the developer. But i was asking for an additional feature of improving a chatting box with the friends that a person is following to make learning more sweet thankyou i love y'all",0.0,,,,app incrediblei wanted learn python use projects known amazing appi felt like stop since could get good learning materials amazing app got need thanks developer asking additional feature improving chatting box friends person following make learning sweet thankyou love yall,status quo sloth,person
8442,2022-06-22 05:18:10,,,5,,Jamil Ur Rahaman Bhuiyan,,POSITIVE,python,c2e9456a-c752-409b-9d11-cdc396f55cba,https://play-lh.googleusercontent.com/a-/ACB-R5T5n8ytPsaBbhJNmlQAYYMx-f64tfFi_xDZwrDAPw,"That's a great app for beginners. Very easy to learn and there is compitition with other, thus you won't wanna lose your craze. It helped me a lot to learn python and html coding. I will prefer everyone, especially beginners to download this app",0.0,3.84.1,,,thats great app beginners easy learn compitition thus wont wanna lose craze helped lot learn python html coding prefer everyone especially beginners download app,boosters,special
8640,2022-06-15 00:45:43,,,5,,ritchie F.,,POSITIVE,python,b5ed0423-e4fc-4e04-83b4-34763bed2243,https://play-lh.googleusercontent.com/a-/ACB-R5Qpwkc3P-Xfynj-RGLYotIDVpqm5VxTfhY_WRMO,"Great app to learn/revise python Although it's mainly geared towards Web programming, the python section is really clear and well written. I used it to prepare for some of my python exams and it was really useful, especially the different projects linked to what you have just studied. I really hope they develop more of the python section to include the most wanted modules like flask, github, django, numpy and others. But I love how they used the duolingo principle for learning coding.",0.0,3.84.1,,,great app learnrevise python although mainly geared towards web programming python section really clear well written used prepare python exams really useful especially different projects linked studied really hope develop python section include wanted modules like flask github django numpy others love used duolingo principle learning coding,boosters,special
8713,2022-06-12 13:46:15,,,3,,David,,POSITIVE,python,45d4ff78-5032-4f86-b488-96bd2b0d7150,https://play-lh.googleusercontent.com/a/AGNmyxYcmJQhzlWms7Pm5vyA0mIVBpfaLnHK87CV4I6p=mo,"I'm very new. I did python and sql, and i'm doing the web stuff now. mimo does what it does reasonably well. I'm just not sure there's enough coursework here to land a job - especially a full-stack job - but time will tell.",0.0,,,,im new python sql im web stuff mimo reasonably well im sure theres enough coursework land job especially fullstack job time tell,boosters,special
9396,2022-05-19 08:57:55,,,5,,mark reilly,,POSITIVE,python,f74f6123-ebc2-441c-93f9-24820739a43d,https://play-lh.googleusercontent.com/a-/ACB-R5SC99ETMZ3d4BXA3oh4fkHgpFUFY2DJpgDqQxJEtQ,Ok could be a few more languages even if it's pro only so far looks like html SQL python and CSS there might be more in pro but I can't account at moment as still behind pay wall its number 1 on play for a reason nice social with projects and playrooms so I give it 5 stars the pay part is so we can cloth and feed the dedicated developers im fine with that also if its hard to learn with this style of teaching simple get a note pad and make notes for future reference no time limit,0.0,3.80,,,ok could languages even pro far looks like html sql python css might pro cant account moment still behind pay wall number 1 play reason nice social projects playrooms give 5 stars pay part cloth feed dedicated developers im fine also hard learn style teaching simple get note pad make notes future reference time limit,status quo sloth,account
9901,2022-04-29 20:36:26,,,4,,Kris Kaitman,,NEGATIVE,python,494d97ab-5025-4339-a82a-2e5520fbdef3,https://play-lh.googleusercontent.com/a/AGNmyxa2zW20Sd7DfKfCe2MsZMOZVttXgVgRvPkT31mm=mo,"I'm basing this on when I used the app a year or two ago. I saw one of the reviews talking about hearts which would immediately drop a star for me. Mimo is probably the best place to learn python I've seen. It's kind of hand-holdy but it works, especially without previous experience. It can give you a solid foundation that you can build on else where. I dropped a star because of the payment model. No option to buy lifetime a single language or anything. Just a subscription model to bleed you dry",13.0,3.76,,,im basing used app year two ago saw one reviews talking hearts would immediately drop star mimo probably best place learn python ive seen kind handholdy works especially without previous experience give solid foundation build else dropped star payment model option buy lifetime single language anything subscription model bleed dry,boosters,special
