Unnamed: 0,reviewId,userName,userImage,review,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
244,d0d6764c-92dd-45af-acd1-57fe93026008,Kurtis -,https://play-lh.googleusercontent.com/a-/ACB-R5TxnuVO70METzHkKxioy9psCGpuOwFrgQcSyTYvRA,"Alex baby, you my man. Changing lives! To the top with you!",5,0,pythonx_1.2.3,2023-01-29 11:16:26,,,POSITIVE,alex baby man changing lives top,torture breaks,live
257,cef3928a-800e-47f6-8997-e1c85032b8f8,Nate Fittje,https://play-lh.googleusercontent.com/a-/ACB-R5QcW1KSbc-OQzxcd1y-5zBbG7Ip_ZEPRRXW8Y4x,"Overall, I've learned a lot from this app already. However, there are a few things keeping this app from being great, especially for true programming novices. 1. There are a lot of spelling and grammar issues that make some of the content difficult to understand, especially in some of the quiz questions. 2. I've only done the first two projects so far, but there have been bugs in the source code for both. They're not major and fixable easily enough, but they should have tested them.",3,3,pythonx_1.2.2,2023-01-25 14:50:49,,,NEGATIVE,overall ive learned lot app already however things keeping app great especially true programming novices 1 lot spelling grammar issues make content difficult understand especially quiz questions 2 ive done first two projects far bugs source code theyre major fixable easily enough tested,boosters,special
342,ef21d251-525b-408b-9773-0a0f109dfb74,Jessica Layman,https://play-lh.googleusercontent.com/a/AGNmyxaY0XBY2xdlIPaTE44R2p8a73qo-WRQO6tvitjk=mo,I have not yet been able to fuy experience the whole app or explore it's ability to teach each person but I did watch the tutorial and I'm very interested in learning more. I will definitely post another comment due more to this when I have fully inspected it and learned something from this.,5,4,pythonx_1.2.2,2023-01-07 17:26:07,"hi Jessica, thanks for your review! Please recommend our app to your friends, and don’t hesitate to shoot us a note at hello@codingx.app if you have any questions.",2023-02-22 03:42:54,POSITIVE,yet able fuy experience whole app explore ability teach person watch tutorial im interested learning definitely post another comment due fully inspected learned something,status quo sloth,person
386,0ea5187d-974d-431a-90bc-6604f3746dc4,Fakhrul Islam,https://play-lh.googleusercontent.com/a-/ACB-R5S45gH1RXwYOf_AFdRyS2Ee0MkmAHyaxXOazZSnNw,"Very nice so far, i like that it doesn't give you limited hearts(lives), nice interface but because i am not a native english speaker, its a bit difficult to understand as it uses some old school words, anyway its very fun",5,3,pythonx_1.2.2,2022-12-30 07:02:55,,,POSITIVE,nice far like doesnt give limited heartslives nice interface native english speaker bit difficult understand uses old school words anyway fun,torture breaks,live
430,0c053f71-3bcb-421e-9ebf-ea31c876b3e1,shane jau,https://play-lh.googleusercontent.com/a-/ACB-R5Q0-UraAgB1MXi-OR3fFIgbksPEEOp6i_VjlnzXwA,Verizon Samsung Galaxy Note 20 Ultra So far so good feeling like I'm learning. Excited for what's to come. Im in customer service now but want to move into IT world. I believe this could help. Thanks Dev,5,0,pythonx_1.2.2,2022-12-23 12:18:00,,,POSITIVE,verizon samsung galaxy note 20 ultra far good feeling like im learning excited whats come im customer service want move world believe could help thanks dev,status quo sloth,custom
449,20ce4c99-2e0f-4d2f-b464-453d98b52896,Sahasra,https://play-lh.googleusercontent.com/a-/ACB-R5QteyEBrnpFKRgbFqeQwZvBu6ZOQLe1erDxhPhP,More than 97\99 of the app is in paywall ....,1,0,,2022-12-20 07:43:15,Thank you for your feedback and we are deeply sorry for the inconvenience. Can you please share the problem with us in more detail so that we can improve our app. Please contact us at hello@codingx.app.,2023-01-03 15:26:40,NEGATIVE,9799 app paywall,torture breaks,paywal
455,4635bfb0-72a3-49dc-9bb7-aae3a50dc634,Emeris Pendragon,https://play-lh.googleusercontent.com/a/AGNmyxYWFNli7dnxqjWOF52pdh5IrQlHNK2U8tJ3YenR=mo,Data pirates - they will not delete my data and remove me from marketing lists. Their contact email on the play store comes back undeliverable. I'm reporting them to Google as spam.,1,0,,2022-12-18 21:43:09,"Hi, please write to us at hello@codingx.app, with detailed information we will get this sorted and your information deleted as requested.",2023-01-03 15:27:47,NEGATIVE,data pirates delete data remove marketing lists contact email play store comes back undeliverable im reporting google spam,torture breaks,live
516,15d49171-2b6e-408f-8ac5-a60db1585ab6,mukarram farooqui,https://play-lh.googleusercontent.com/a-/ACB-R5SZhXl_7jpD001nKfa0U4pRuQ2F-shdxXgcZKFABg,Amazing app for beginners specially to learn a programming language from root level,5,0,pythonx_1.2.2,2022-12-08 01:38:16,,,POSITIVE,amazing app beginners specially learn programming language root level,boosters,special
534,c01e215b-8e3f-4f72-abb8-1ec139d8b3c8,Lary Andrw,https://play-lh.googleusercontent.com/a-/ACB-R5Q1IByj0v7k82HCw5eNINpcQC2567dBrBJ3oDUx,Amazing learning app. Lovely interface and the information is wonderfully delivered. Can't wait to go through all the learning modules .,5,1,pythonx_1.2.2,2022-12-05 14:28:25,,,POSITIVE,amazing learning app lovely interface information wonderfully delivered cant wait go learning modules,torture breaks,live
695,d6575301-a70a-42d0-8167-746b6cfafc79,fred nights,https://play-lh.googleusercontent.com/a/AGNmyxbK-zjfZ90I6K7oHQunZgA19hh3Vy_UTNZ6dOho=mo,paywall after account setup,1,0,pythonx_1.1.7,2022-11-13 03:33:06,"Hi Fred, thanks for sharing. Could you please share the screenshots of the same on hello@codingx.app. so that we can address the concern.",2022-11-17 15:12:48,NEGATIVE,paywall account setup,"torture breaks, status quo sloth","paywal, account"
766,2c050040-bfd9-45cf-bbd3-0c5fccb8ade8,Samuel F.O,https://play-lh.googleusercontent.com/a-/ACB-R5R42kUZ35p21AyleqwojiDD0ItjLPdtxIIkOcb-mQ,This is very good and it helps the beginning to no more about programming specially python,5,0,pythonx_1.1.7,2022-11-05 16:17:56,Thank you for your encouraging words. Keep learning!!,2022-11-23 03:17:03,POSITIVE,good helps beginning programming specially python,boosters,special
884,1389ca4c-3d6a-4fb8-aa1b-238424b0ef48,Ravindra Panchal,https://play-lh.googleusercontent.com/a-/ACB-R5QNNuPSedTB-Ktf7SUiPmJky6-ngbL5Ily55imJ2w,I got problem with the premium feature but their customer service is very supportive so i got my problem solved within hour. Premium content is also good. Best of luck 👍👍,5,0,pythonx_1.1.7,2022-10-20 23:14:13,"Hi Ravindra, apologies for the inconvenience, kindly write to us at hello@codingx.app we will resolve the same at the earliest.",2022-10-20 13:57:55,POSITIVE,got problem premium feature customer service supportive got problem solved within hour premium content also good best luck,status quo sloth,custom
