Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_python,matched_stem
724,77fe3ad8-e96d-4c80-808c-8ee43cfc7096,Shridharan Pr,https://play-lh.googleusercontent.com/a-/ACB-R5RMX6WfENwhfcE3V-gV5ydUxmmN1RDhF-9hYqtI,"It is the best app for learning coding if you are week in coding and you want to learn coding you can use this app it has many languages like python, C++,java,etc. Now I am learning python its cool to install this app you can build games for console etc. if you want to learn with fun please install this app I truely recommend you this is the best 🤙app you have many features in this app like you have leaderboard you have tests and you can earn ex and go up in the leaderboard you have leagues Tq.",5,0,4.39.0,2023-02-26 04:56:13,,,POSITIVE,python,leaderboard
1005,ec33a3d0-b853-44cf-af27-ea5e3153e421,Numan Hassan,https://play-lh.googleusercontent.com/a-/ACB-R5Sefa9Rf7FQSTAXF4WOidXTej7ed-KwRakEXVhW,Start learning python basics on this app but got stuck at the break and continue lesson because program they give me to solve doesn't solve even after using thier own solution code😐 Almost 3 weeks are gone and this problem didn't solved.,3,0,4.39.0,2023-02-15 06:17:25,"Hello Numan Hassan,
Thanks for your feedback!

Please update the app to the latest version for an enhanced code learning experience and let us know if the problem persists by providing extra details and a screenshot/video at info@sololearn.com",2023-02-20 07:33:23,NEGATIVE,python,break
1067,0a7563dd-b30c-40bc-9802-e7d44951d94f,Jason Kinsley,https://play-lh.googleusercontent.com/a-/ACB-R5QIQbQXxJwfd03KSShEWloQD3HB4wKfQ1fqByAQ41g,"It's for sure got a lot of great tutorials and information for a beginner like me. However, I find it concerning that I, for example, can use the exact same code from the python course and put it into VS Code and not get the same result. Maybe it's something I'm doing wrong but it still bothers me and makes me wonder if I'm getting bad habits right from the start.",3,6,4.39.0,2023-02-12 16:15:53,"Hello Jason,

Thanks for your feedback! We are sorry for the inconvenience. Could you please send more detailed information about your programming experience to us at info@sololearn.com so that we can understand your issue better and try to resolve it?",2023-02-13 05:59:02,NEGATIVE,python,habit
1131,4b58aa11-3e2f-4ec4-a1a7-853e9f168be8,C Dubs,https://play-lh.googleusercontent.com/a-/ACB-R5RERD8I9knGtfcolYpr0-yYObRqkQ9xAky-oLKJuA,Using this to learn python and it does a great job of breaking learning points into bite sized chunks and allowing you to practice some of what you learn. Intuitive and there's comments for each part to get more understanding.,5,0,4.39.0,2023-02-10 17:44:33,,,POSITIVE,python,"point, break"
1155,02979850-3181-44dc-b607-2c4e58801e97,Sthembela Thwala,https://play-lh.googleusercontent.com/a/AGNmyxb1g2LEjRMD1RgHzkRcVSmTRlhr2AEktXAsQrDX=mo,This app is the best im currently learning python at home and i have completed 4 of 9 chapters .. the problem im experiencing is when im doing challenges .. after completing the challenge you are forced to wait for the oppoent to finish answering their questions which wastes a lot of time. Can you please allow both People to answer questions at the same time im sure that will reduce the time we spend after completing the challenges and be able to get our results . Thank you !!!,4,0,4.38.3,2023-02-09 19:39:24,"Hi,
Thanks for your feedback.Your suggestions have been forwarded to the appropriate team for consideration.
We work tirelessly to improve our content, platform, and services by listening to and responding to members of our community.We learn from every piece of feedback we get and we love to hear ways to make Sololearn a better academy for coders.",2023-02-13 04:05:28,POSITIVE,python,challeng
1177,86c61e7e-ccf1-4546-9975-209e9bd71e6f,Amardeep Singh Dhillon,https://play-lh.googleusercontent.com/a-/ACB-R5SFgazfTC4C_y73zNFWGPg-L19VgyDWKUGhKDJN8w,Was going very well but the Ticket prices exercise for while/break/continue in the python course doesn't work even using their solution (as several entries are input at once leading to EOF error) UPDATE: managed to get past there with a Google and using try/except statements. Now hit another faulty exercise where the expected outputs of the BMI calculator code project are incorrect (checked by using a manual calc on the inputs),1,3,4.39.0,2023-02-08 14:17:36,"Hi, Thanks for your feedback!
We recommend heading to our Discuss Q&A forum for all of your programming-related questions. Our friendly community is always ready to help! For more information get back to us at: info@sololearn.com

Happy Sololearning!",2023-02-13 08:51:12,NEGATIVE,python,break
2025,9be9e404-1166-4f14-9030-935fb72ddc90,BASHIR HASSAN MUHAMMAD,https://play-lh.googleusercontent.com/a-/ACB-R5RvuY-ZgKm5pEMexGSMpcW08DWKs2XnyCCpC68I,The best python learning app ever. Try and see my point.,5,0,4.36.0,2023-01-08 15:04:26,,,POSITIVE,python,point
2748,f566f415-1668-4f71-9658-7b9a7429cbd8,PLain CLothes SPaceman,https://play-lh.googleusercontent.com/a-/ACB-R5T2_UbhWcGxHKukXHlkG---WwB_xtuv0wbZJvHL,"An excellent app. Positively challenging and very rewarding. Have paid for yearly subscription and will pay for another to keep the momentum going. Have got my python for data science certificate after stopping and starting the course over several months and then pushing myself to stay up all last night to damn well get to the finish line, which I damn well did! I am now going to try and get some sleep before the sun rises. More courses to build upon my progress beckon. Will update..",5,38,4.33.1,2022-11-30 02:18:36,,,POSITIVE,python,"challeng, progress"
3383,21bfeedc-da0e-4ebd-a28f-fecff83649b6,Alex Seachrist,https://play-lh.googleusercontent.com/a/AGNmyxa07Xv8agN6H4QGJO0InelWAYFvt0GNoCf2cNY6=mo,"This app is great for getting a start and for small challenges to help you stay on top of things but youll need to find additional sources to learn more, atleast with python.",5,4,4.31.0,2022-10-31 09:57:08,,,POSITIVE,python,challeng
3613,d7d37de6-f94c-4259-98f7-5b4c85a367af,Ben E,https://play-lh.googleusercontent.com/a/AGNmyxbd4puk7_zbVc0azi7EcRyVpsgWzPcTfpmQc77d=mo,Blocked my account with no explanation after I was several lessons in with no explanation no matter how many times I asked their terrible customer service why. Went with their competitors and have been learning python from them. Basically a freemium app. Pretty worthless.,1,0,,2022-10-18 22:10:12,"Hello, Thanks for your feedback. Could you please send more detailed information to us at info@sololearn.com so that we can understand your issue better and try to resolve it? Have a nice day!",2022-10-21 09:22:54,NEGATIVE,python,competit
4912,cfe43979-e87d-4760-b91c-f41196d8b51e,The All Memeing Eye,https://play-lh.googleusercontent.com/a-/ACB-R5R6Lm_VGnv7PyAfjmXwrIgglo94NFvfRS65ye9Vqw,"End of module python challenges are a great addition. Would greatly benefit from being able to practice questions like those used in challenges without need for an opponent, nor the time limit, if one chooses. To balance, maybe don't award any XP for such sessions.",4,4,4.24.3,2022-08-30 07:37:18,,,POSITIVE,python,challeng
6493,535d76bb-7ff4-49b3-b94f-9e7152a41586,John Black,https://play-lh.googleusercontent.com/a-/ACB-R5SR05N6oBb7h1TubjCaIdRp5Z5XL-BrDjRAR8l3,"Excellent app, I've been doing a google course for python and stopped at some point, this app helped me build my confidence and move forward, totally recommend!",5,0,4.23.1,2022-07-15 04:47:59,,,POSITIVE,python,point
7292,065296d3-09cb-4878-b8e1-7cf633c83d5f,Dienel Manipol,https://play-lh.googleusercontent.com/a-/ACB-R5QDucL_Yi894q7GhjjVvPyS1nfj4hNHHrjepmq4YA,I love it! I understand that they need to profit with their app but i love it I can learn python like i am playing a game..tho i only have 3 lives to try answering questions it gives a nice break not to answer for compliance. It really helps the learner to have a sense of commitment to the learning process. I hope that the developers will not be too greedy to put annoying advertisments and put more restrictions or limitations for studying a course in the future.,4,0,4.21.1,2022-06-21 14:36:26,,,POSITIVE,python,break
9055,9eda04f5-2258-44ee-9837-878e8976af1e,Robolodon 8937,https://play-lh.googleusercontent.com/a/AGNmyxaFUgvv0f3ryE7bCC1gZRIIguS4x37zPZhTvuW-=mo,"Meanwhile the base learning courses are very good (I am using python), I have been having trouble with the challenges where even the correct solution isn't right and keeps flagging parts as ""incorrect syntax"".",4,0,4.17.1,2022-04-24 13:20:30,"
Hello! Thanks for your feedback! We are sorry for the inconvenience! Please send more detailed information to us at info@sololearn.com so that we can help resolve the issue. Looking forward to hearing from you!
",2022-05-02 09:22:39,NEGATIVE,python,challeng
12823,686e0785-b550-416f-b49c-781a649cc29a,ItzZeg MC,https://play-lh.googleusercontent.com/a-/ACB-R5Tr0reuItALqx173YelpM2XBj0TRIHry9lwYi6j,My python coding progress is getting better each time,5,0,4.9.0,2021-12-20 19:48:16,,,POSITIVE,python,progress
