Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_python,matched_stem
166,c0eba936-346d-4504-b75b-0427163ac4b6,Jonathan Chanda,https://play-lh.googleusercontent.com/a-/ACB-R5RJJW22gBrDfzX9SzpRQYXj2kKZbnWv1LYUEcXJjw,I am having challenges with getting a certificate I have finished the web development course but couldn't get a certificate even python programming course am always unable to get the certificate,4,2,1.4.69,2023-02-16 04:38:31,"Dear Jonathon, we are extremely sorry for the inconvenience you faced. But we are not clear about the issue, to fix the issue and to give you the best experience with our app we need to know them at first. Can you please share the issues with us at support@programming-hero.com? We love you a lot, we want you to have a smooth learning journey! ♥",2023-02-22 07:46:43,NEGATIVE,python,challeng
333,12126572-c5b0-48dc-a6db-fe31754a7496,F.R,https://play-lh.googleusercontent.com/a/AGNmyxYus5akIZQ6mIEtuML-zpD6ipek8B9KOAfmTCPY=mo,"Disappointed with the service, thinking paid for a premium would help but still it still the same. 1. There is no response from the with the live support. 2. The explanation in the lesson is not detailed. 3. Inable to run command. Error messaged shown "" python not found. To install python, go to terminal and run this command. pkg install python"". When written at the terminal, messages shown command not found.",1,1,1.4.68,2023-01-11 02:33:22,,,NEGATIVE,python,point
2066,f7eb4832-755c-418b-abdc-4c71a01f20af,Destiny Anyaele,https://play-lh.googleusercontent.com/a/AGNmyxbuLu_Hi3_RrjMJOH4gQ3jRomsqvNAKhrb_zFKfCQ=mo,"This app is beginners friendly.Please I advise you if you are planning on learning python,java,html etc.This app will be very useful.It even has a code background for practice. You get to meet people who can answer some of your programming trival questions.Earn badges and become the best. Thanks # team programming hero Please programing hero developers I would like you to also make a social environment where people can communicate with other profiles,view their post,discuss related programing t",5,1,1.4.64,2022-03-27 18:05:00,,,POSITIVE,python,social
3188,a2d8356c-957f-42b2-8a56-9088c171acd5,Crazy Learner,https://play-lh.googleusercontent.com/a-/ACB-R5SA5GiBB2nVi57VXPtToZQS4kuvaMhbdHJbghK1,Iam learning python in this app.now iam in challenge 1.but i don't complete the task.why?,1,0,1.4.59,2021-10-28 07:29:12,"Dear user, Grandma is worried that you faced an issue with our app. But she is not clear about the issue. Can you help her with giving a little bit more details on support@programming-hero.com. We will try to fix your issue as soon as possible. Will be waiting for you! Because we love you and don't want you to be stuck with issue! 💖",2021-10-28 08:58:05,NEGATIVE,python,challeng
3558,8979df70-bed1-4a9b-80e5-5c26e592facb,Coty O'Dea,https://play-lh.googleusercontent.com/a-/ACB-R5RtFmWVVsK6H-x9pXoG7eW2gAhU3HJveBD4Nh_Oew,"Currently taking college classes for programming. My first class is for python, and this app's first class is python. It breaks everything down quite simply and makes learning easy and fun.",5,2,1.4.56,2021-09-21 17:09:39,,,POSITIVE,python,break
5147,7d117cee-988d-4a2b-821a-c6d7a1c2e1ff,A.N. collections,https://play-lh.googleusercontent.com/a-/ACB-R5T2HX3JCpZakSrHv614dFL3XoRpcMnt9QyvLh3hvw,"Everything is perfectly fine ,it made python learning fun and easy but one and only problem is that the app is incomplete ☹️☹️🙁.The app got stuck in GUI module ,no data is being displayed there it's jst a blank screen🙁. I was so excited to learn that I completed all the previous modules in 2 days but when it got stuckked at such a high note🙁 it made me feel disappointed. Pls pls do something and make it to work.",4,0,,2021-05-05 10:51:42,"Please clear your app data from settings and log in again.
Let us know if you are still facing that issue.
We are extremely sorry for the inconvenience.",2021-05-07 05:35:43,NEGATIVE,python,point
6476,cd46f84f-f150-4623-bce6-2ead304475c6,Chidozie Nnabuife,https://play-lh.googleusercontent.com/a-/ACB-R5RTYJAqNzjL_aR3GIWX97oIagCJNpkOGVNak8nqlA,"Three lovely things about this app. 1. It has a nice user interface 2. It's Python IDE is the best so far on Android. 3. The lessons are so comprehensive 4. The code coaches and challenges are also outstanding. My suggestion. Please work more on the python IDE. Add a float button for ""undo"" instead of having it stay inside settings. Also add an auto save feature in the IDE too.",4,6,,2021-01-08 19:16:10,"Thanks a billion for your suggestion, Chidozie! 😊
Glad you loved our app.

Please keep supporting us.

This month, you'll look hotter in your brand new profile page.

You can produce a baby robot in one night with your ""Python In One Night"" video course. 

Next is the C course. Stay tuned.

Love from Team Programming Hero! ❤",2021-01-12 04:58:27,POSITIVE,python,challeng
10151,68b2450c-aa65-420c-9e5d-74ace078ee04,3D Animator,https://play-lh.googleusercontent.com/a/AGNmyxbCOBPN_-dhXvMwKSHYHquHqanLRs7ciGVZd7Qy=mo,It's the best app I have used for learning python but I am disappointed because the app development course isn't released yet. Thank you.,4,0,1.4.28,2020-06-05 12:50:40,,,POSITIVE,python,point
10992,ce0ed8f9-57eb-4d93-9553-ce8644089646,AJ enhance,https://play-lh.googleusercontent.com/a-/ACB-R5SMRHCPEXk5KUoMQLgW8KCuSDWyiaQV6jmSTawh,Because of this app i am making my own game and am almost done but struggling with caracter selection menu but it is with sprites in python and im using pygame and pls consider to input sprite sheets in python and caracter selection and adding points so people have more options on making games Glad could use and test the app😉😆😆😎😎,5,1,1.4.26,2020-04-30 19:23:16,"Thanks a lot, AJ Enhance! 😊 We're really glad you liked our app. Please keep exploring Programming Hero and keep supporting us... This month, we're bringing a brand new dark mode and some more Web Development course contents. So, please stay tuned… Love from team Programming Hero! ❤️",2020-04-30 20:34:48,POSITIVE,python,point
11419,3d918401-b3af-4d3f-8527-4d28ee0bd0a6,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Really osm app to learn python. Problems were discussed by taking real life examples. And highly devoted to newbie's🤘🤘😎,5,0,,2020-04-14 03:14:25,"Thanks a lot! 😊 We're really glad you liked our app. Please keep exploring Programming Hero and keep supporting us... This month, we're bringing a brand new dark mode and some more Web Development course contents. So, please stay tuned… Love from team Programming Hero! ❤️",2020-04-16 02:26:28,POSITIVE,python,vote
