Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_python,matched_stem
1606,7bc3902a-f4c2-42e1-9e0b-dd4e4ef15dc0,Ian Mount,https://play-lh.googleusercontent.com/a/AGNmyxYz7yu4o38-FebNT3hPMP2EEftTIZOPdbHsJOgX=mo,I really need someone from admin to get back to me I purchased the pro lifetime account and received my first certificate for python re logged back into my account the next day and it's empty has no certificates is still Pro has no progress,1,0,,2022-11-11 22:30:41,"Dear Friend
Please accept our sincere apologies. We request you to log out and log in / reinstall the application to check if it works. If it doesn't, please share your purchase receipt and registered email id at  Hello@prghub.com and we will definitely solve your issue
-MB",2022-11-12 05:38:44,NEGATIVE,python,progress
5318,bf038ce4-6b3e-4d77-9cf0-2e6a5496a4bd,Chiamaka Aniweta-Nezianya,https://play-lh.googleusercontent.com/a/AGNmyxYRQ2hYxj2H4BbG78FCSvTyOaHDTBwgXeV0Q7RV=mo,So i have been using this app to learn the basics of python and it's so good. They break down everything properly and give very explanatory examples. I recommend this app.,5,11,5.1.50,2022-03-05 06:26:08,"Dear Friend
We are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at Hello@prghub.com so that we can help you better. Happy Learning!
-PS",2022-03-14 10:49:18,POSITIVE,python,break
5648,af601e3c-f670-4995-a0d3-ccef49116223,Guilherme H. Santos,https://play-lh.googleusercontent.com/a-/ACB-R5SMzGWjiThhZWNwv_V90ajuXhP8dKLB18l5pk8FuEo,the app updated and i lost all my progress from a course i was taking and i lost a python certificate,2,0,5.1.50,2022-02-10 08:07:38,"Hey
Sincere apologies for the inconvenience caused, we understand how frustrating it will be. Please reach us at hello@prghub.com, so that we could help you better.
-PS
",2022-02-11 07:55:29,NEGATIVE,python,progress
6323,b4ac8084-788c-43df-aec1-7888756091cb,Swapnil Saha,https://play-lh.googleusercontent.com/a-/ACB-R5Qv3cv50JXh5W5ZiozqO2TTTEnaku5-h7a8k7z37g,"Noice . (Edit) Everything was good, but I was disappointed when I saw that after learning half of python, it says that to learn further, we have to upgrade to PRO version :( , at least like make a ad system so we can like learn it by watching two or three ads. The reason I still gave 5 star because the app is all-over pretty impressive, but that thing disappointed it. :(",5,173,5.1.50,2022-01-04 12:44:27,"Dear Friend
Thank you for your wonderful feedback! Our goal is to make your learning experience with us enjoyable and straightforward. Do recommend us to your friends too! :) If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!
-PS",2022-02-05 01:55:32,NEGATIVE,python,point
7644,2b9d95f6-8ff9-4de4-9088-b41d32350979,avocado fish,https://play-lh.googleusercontent.com/a-/ACB-R5QpvqEMQrjUJx4lle2BcPTp10s9G0bc8MUOZKCY,honestly I feel like this app would have been better for us learners who lacks money could learn without paying you could only learn the basics about how python works with the pro field you could learn all of it I was disappointed to find this just like the inequities between the rich and poor this app once proved that you can't learn anything for free,2,0,,2021-10-17 03:00:05,"Dear Friend
Thank you for your wonderful feedback! Our goal is to make your learning experience with us enjoyable and straightforward. Do recommend us to your friends too! :) If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!
-PS",2021-11-19 08:11:37,NEGATIVE,python,point
9194,d96fb244-831a-4b48-bcca-755c55fdb80d,Aryan Ely,https://play-lh.googleusercontent.com/a-/ACB-R5S1lp7j7mMRdIK_PUjLAv6nHUzy-pjvFMBQfSv9dg,"I lost progress to my courses, was at 60 ish percentage on python, and had a certificate for fundemenals. I scrolled up and all the sudden everything is gone.",1,1,5.1.46,2021-07-24 02:01:31,"Hello,

Hope you are doing fine.

Please sprinkle some awesomeness in us with a higher rating! Reach out to us at hello@prghub.com, If you're facing any difficulty or the issue your facing is yet to solve, would be glad to offer you some personalized assistance. Have a good day.

-JP",2021-07-27 12:41:48,NEGATIVE,python,progress
17146,8879e250-40a7-4943-bf17-9c49aa9ac901,Samarpit Kumar,https://play-lh.googleusercontent.com/a/AGNmyxYLuQBD2r34lXHWf1GCE1BgWL991-DCx58N1_U2WA=mo,"Nice app Love this app and it is very addicting but I don't like how we can only read till a certain point and need money for the rest. As a student, I don't have any money but I still really want to learn python and this the best place I can learn python from",4,0,5.0.8,2020-09-30 09:47:50,"Hi Samarpit, Thank you for writing to us. We agree that the content should be free. But we strive to provide our learners quality content and hence we had to hire experts. We request you to reach us out at Hello@PrgHub.com, we will definitely reach you out with a solution that makes you delighted. -JP",2020-09-30 14:34:35,POSITIVE,python,point
17533,a4956c14-93e2-4fba-a4c1-f0ec7c215d30,Dominic Moyo,https://play-lh.googleusercontent.com/a-/ACB-R5TJf-D5_4xgP0WdLkxHJ0At53RfrN3cDCtz-zeExA,"At first I was happy with the app, but after I did 3 lessons with python it required me to be a pro member,Why should I pay in order to complete the course ,this staff must be available for free.I am dissapointed I am Unistalling it",1,2,5.1.31,2020-09-21 04:26:17,"Hi Dominic, Thank you for writing to us. We agree that the content should be free. But we strive to provide our learners quality content and hence we had to hire experts. We request you to reach us out at Hello@PrgHub.com, we will definitely reach you out with a solution that makes you delighted. -JP",2020-09-21 16:20:31,NEGATIVE,python,point
17949,eab97a1f-c1ca-4a58-abe8-8b6ee9bde8f4,Benjamin Nkem,https://play-lh.googleusercontent.com/a-/ACB-R5Sy4H9vUpZgl2JJG2ewbdw11D3Y96uwUG7QwHN2IQ,I'm learning python and I'm only 14 i really love it because they break everything down to us who are the absolute begginers I really enjoy this app And i know in a few days i will be a full programmer,5,1,5.1.31,2020-09-13 17:45:36,"Dear Friend Thanks for the awesome review, We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you. For any assistance do not hesitate to reach us out at Hello@prghub.com, we would be very happy to support you. -JP",2020-09-14 13:57:21,POSITIVE,python,break
19367,459e09b3-e2c7-45b9-a3d0-7d1afe9bf6b0,Matt Everall (DoorMatt),https://play-lh.googleusercontent.com/a-/ACB-R5TsJFHNC4wjxkvh6WShfWvD1fWtbDnzOpxTo_8-Ow,"This app is genius!! Finally one app to access all my coding languages! <3 (Just a quick question though, because I have this app can I delete the other apps like the python and I will still keep all my progress?)",5,0,5.1.30,2020-08-18 19:23:05,"Dear Friend, Thank you for reaching out to us! We would like to inform that the individual app and the programming hub are different platform so there will not be sync between these apps. If you need assistance with anything, please don't hesitate to get in touch with us at Hello@prghub.com and we’ll be more than happy to help you :) -JP",2020-08-19 13:54:43,POSITIVE,python,progress
20631,351e8308-460f-4629-99fb-f2a7b4ef9953,Leonie,https://play-lh.googleusercontent.com/a/AGNmyxaby2ojdFksgB_J50AXiY3cguy1L1QUPGSmX-AzcA=mo,"it constantly looses progress on my python course. i can't even skip the ones i already did. ----- update since the issue was resolved. the courses are overall a good starting point and it's fun to click through in an duolinge-esque style, just for programming. usually i don't need more than a few days per course. the more text heavy courses really need some polishing though. there are typos and weirdly structured sentences which makes reading difficult sometimes.",3,4,5.1.6,2020-07-27 17:10:40,"Hi Leonie, We totally understand the frustration caused by us. Kindly reach us at Hello@prghub.com so that we can provide you solutions as soon as possible. Apologize for the issue caused . -JP",2020-07-29 04:45:04,NEGATIVE,python,"progress, point"
21431,82642cea-31c9-4c81-8bee-e742a638c7f6,Zach eddy,https://play-lh.googleusercontent.com/a-/ACB-R5QXxOran_d9KM97JcCVvCL_yljSUdPsZkS7vAAzZQ,"I paid for the pro app and so far as a beginner in computer science, and data science I've enjoyed this app. I use it during my breaks between my 12 hour work days and then I read O'Reilly Media guides to further my knowledge and skill on my days off. I've been trying to get more understanding in python and R and I believe this app teaches the basics really well.",5,5,5.1.4,2020-07-09 17:49:26,"Dear Friend, Thank you! We are pleased that you have enjoyed learning with us. We sincerely appreciate your insight because it helps us improve ourselves If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better. -JP",2020-07-10 15:08:53,POSITIVE,python,break
32329,3b517c57-c330-4052-a181-81fad88c310e,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"This app is pretty good for begginers and I am one. The lesson are not to challenging, for what I'm doing which is python, but they are really easy to memorize and they let you understand the code easily. The reason I'm giving it a 3 star is because majority of the classes you need the pro membership and that really sucks.",3,1,5.0.14,2019-07-07 09:11:37,"Dear Friend
We're hoping that our free courses have been helpful. We completely understand where you're coming from so we would love to hear from you at hello@prghub.com so that we can work out a solution that will make you smile. We're looking forward to speaking with you soon!
-PA",2019-09-11 04:57:05,POSITIVE,python,challeng
