Unnamed: 0,date,developerResponse,review,rating,isEdited,userName,title,sentiment
0,2020-09-07 02:47:01,"{'id': 17838789, 'body': ""Thanks so much, Is_royalty. This really means a lot.\n\nWe're working on to fix the issues and we assure you that it will be fixed soon. Thanks for letting us know this.\n\nPlease keep exploring Programming Hero and keep supporting us.\n\nThank you.\nLove from Team Programming Hero. ❤️"", 'modified': '2020-09-12T13:09:25Z'}","Im currently a student who is going to a university for a computer science degree, so I've had my fair share of different ways programming is taught. I recently had a hard time getting into my degree thanks to the change of pace COVID brought, and I was looking for a tutor originally but instead found this app. I am so glad I found it, this has saved me from paying for an expensive tutor and has improved my understanding of programming. 

There are minor bugs I have found, such as: when you get to certain points in the building of ‘your game’ sometimes you won’t be able to take an action (e.g. shoot a missile at the planet); also when you do the challenges, sometimes even if you click the correct answer it will say you clicked the wrong one and you’ll get it wrong either way. 

Overall amazing app and I would recommend this to any student or person who is trying to get into coding. I’ve spent thousands on professors that couldn’t teach what this app can.",5,False,ls_royalty,"Amazing way to teach, but some minor bugs",POSITIVE
1,2021-06-30 19:47:22,,"It is an amazing app. I never thought that coding would be this much fun to learn, now I am sooo into coding. Because of this app. Good job♥️
But there is a problem I just can’t complete the Paragraph tags in EXPLORE HTML. It gave me three options but whatever I choose, is wrong even if it is the right answer. So basically I am stuck.
Please do something about this I really want to learn more but I can’t.
But apart from that, you are doing an amazing work keep it up♥️♥️",5,False,the code guy,An awesome app but the bugs ar really annoying.,NEGATIVE
2,2022-08-08 17:11:36,,This app is really helpful to learn programming. They teach you step by step and make your basic clear. At first you don’t need to waste your money by taking courses to learn basic of programming in other websites this app gives it for free!! It has no adds too.,5,False,masnoon_ahmad,About this app,NEGATIVE
3,2020-08-30 10:26:01,"{'id': 17838798, 'body': ""Great catch, Clear yay. Thanks so much for bringing this to our attention.\n\nWe're working on to fix this soon. And we assure you an amazing learning experience.\n\nPlease keep exploring Programming Hero and keep supporting us.\n\nLove from Team Programming Hero. ❤️"", 'modified': '2020-09-12T13:12:40Z'}","Great concept and beautiful UI. Programming is difficult to learn and typos in the teaching material can lead to way more confusion. One example is in the js fundamentals “array” lesson. Throughout the course it is correctly using [ ] for an array but the final question uses ( ) for all the multiple choice answers. Also in the ES6 template strings lesson they have the the formatting as {$} in the introduction when the correct formatting is ${} which they show later.
Small things but this could cause newer programmers frustration and confusion.",3,False,Clear yay,Typos and,NEGATIVE
4,2022-07-08 20:36:32,,I love this application. It really puts Python in a different perspective and helps me understand it better. I will definitely be putting this application on my children phones. Thank you and your team for an amazing application. Keep up the great work!,5,False,Te03civiclx,Amazing Application,POSITIVE
5,2021-02-04 02:34:23,"{'id': 25754301, 'body': 'Dear user, Grandma requests you to try our latest app once more. We already have fixed this issue and updated the app. Curly quotation is not the right one for coding, so we kept suggestion with the right quotation mark on our updates. She is confident this time, she believes that you will love to learn programming from our app now! She sends you lots of love! 💖', 'modified': '2021-10-18T18:46:58Z'}","I use an iPhone and when I am using the app with my iPhone, I am not able to input content in between my quotation marks-is this how the app should work? Thank you for this amazing app!",5,False,Alana T.,Functionality,POSITIVE
6,2022-11-26 15:09:40,,"I have really liked this app for refreshing my programming knowledge, but the number of bugs is starting to frustrate me. My progress had been saved for months, but the second I’m asked to sign in so that I don’t lose my progress, it gets lost. I’m very frustrated with having to start over.",3,False,kalarbailey,"Good for learning programming, not great practical programming",NEGATIVE
7,2020-08-01 21:19:49,"{'id': 17123234, 'body': 'Thank you very much for your amazing feedback, Lenguasophia.\n\nWe really appreciate your support and your feedback/suggestion is always welcome to us. \nPlease share those our way at support@programming-hero.com\n\nLots of Love from Team Programming Hero. ❤️', 'modified': '2020-08-06T13:19:01Z'}","I was expecting gameplay wherein the learning is occurring more stealthily. This is an interactive lecture, instead. Mind you, a very good one. I am certainly learning the concepts very easily and without jargon impeding my progress. It’s just not what I expected when the app self-describes as a game.",4,False,Lenguasophia,More of a lecture than a game,NEGATIVE
8,2020-04-26 16:28:48,"{'id': 15006823, 'body': 'WOW. Thank you Frequently traveling. Your feedback is very encouraging. Python and Web development(HTML, CSS) are added. Web development video content is coming soon. We will keep working hard to add more coding content. We will add Machine learning and Python contents. Stay tuned. Love from team Programming Hero', 'modified': '2020-04-30T07:56:44Z'}",I have been looking for something that breaks EVERYTHING down because I literally did not know how to start because I knew nothing about programming or coding. This is helping me out so so much. Thanks for creating it.🙏👍🏼,5,False,Frequently traveling,Life Saver,POSITIVE
9,2021-07-30 08:21:56,,Just bought the lifetime premium for this app. This is just amazing how resourceful and yet fun curriculum they design for a variety of topics. I sure hope they go a long way and add more topics.,5,False,magjuspotter,Lifetime Premium,POSITIVE
